Score,Player's Name,Balls Bowled,Runs Scored,Economy,Wickets,Ct_St,Matches Played
0,Adam Milne,0,0,0,0,0,0
90,Amit Mishra,241,310,7.7,9,0,12
0,Andrew Tye,0,0,0,0,0,0
0,Ankit Rajpoot,0,0,0,0,0,0
0,Anrich Nortje,0,0,0,0,0,0
0,Arshdeep Singh,0,0,0,0,0,0
0,Avesh Khan,0,0,0,0,0,0
0,B Ayyappa,0,0,0,0,0,0
0,Barinder Sran,0,0,0,0,0,0
0,Basil Thampi,0,0,0,0,0,0
98,Bhuvneshwar Kumar,310,407,7.9,18,1,14
0,Billy Stanlake,0,0,0,0,0,0
0,Deepak Chahar,0,0,0,0,0,0
95,Dhawal Kulkarni,210,277,7.9,13,0,11
99,Harbhajan Singh,342,446,7.8,18,0,15
0,Hardus Vilojen,0,0,0,0,0,0
0,Harry Gurney,0,0,0,0,0,0
97,Imran Tahir,213,314,8.8,15,0,10
0,Ish Sodhi,0,0,0,0,0,0
82,Ishant Sharma,84,159,11.4,1,0,4
0,Jason Behrendorff,0,0,0,0,0,0
87,Jasprit Bumrah,90,184,12.3,3,0,4
85,Jayant Yadav,42,29,4.1,2,0,3
81,Jaydev Unadkat,18,30,10,0,0,1
0,Kagiso Rabada,0,0,0,0,0,0
0,Kamlesh Nagarkoti,0,0,0,0,0,0
92,Karn Sharma,239,332,8.3,10,0,14
0,Khaleel Ahmed,0,0,0,0,0,0
0,KM Asif,0,0,0,0,0,0
0,Kuldeep Yadav,0,0,0,0,0,0
0,Kulwant Khejroliya,0,0,0,0,0,0
100,Lasith Malinga,360,444,7.4,24,1,15
0,Lockie Ferguson,0,0,0,0,0,0
0,Lungi Ngidi,0,0,0,0,0,0
0,M Ashwin,0,0,0,0,0,0
0,M Lomror,0,0,0,0,0,0
0,M Markande,0,0,0,0,0,0
0,M McClenaghan,0,0,0,0,0,0
0,Mitchell Santner,0,0,0,0,0,0
0,Mohammed Shami,0,0,0,0,0,0
0,Mohammed Siraj,0,0,0,0,0,0
96,Mohit Sharma,342,481,8.4,14,0,16
0,Monu Kumar,0,0,0,0,0,0
0,Mujeeb,0,0,0,0,0,0
0,N Coulter-Nile,0,0,0,0,0,0
0,Nathu Singh,0,0,0,0,0,0
0,Navdeep Saini,0,0,0,0,0,0
0,Oshane Thomas,0,0,0,0,0,0
93,Piyush Chawla,210,269,7.7,11,0,13
0,Prasidh Krishna,0,0,0,0,0,0
0,Prithvi Raj Yarra,0,0,0,0,0,0
0,R Ashwin,0,0,0,0,0,0
0,Rahul Chahar,0,0,0,0,0,0
84,Rahul Tewatia,18,31,10.3,1,1,1
0,Rashid Khan,0,0,0,0,0,0
0,Rasikh Dar,0,0,0,0,0,0
0,S Lamichhane,0,0,0,0,0,0
0,S Nadeem,0,0,0,0,0,0
0,S. Midhun,0,0,0,0,0,0
94,Sandeep Sharma,300,350,7,13,0,14
83,Shardul Thakur,18,38,12.7,1,0,1
0,Shivam Mavi,0,0,0,0,0,0
0,Siddarth Kaul,0,0,0,0,0,0
0,T Natarajan,0,0,0,0,0,0
88,Tim Southee,168,247,8.8,6,0.5,7
89,Trent Boult,168,236,8.4,9,2,7
91,Umesh Yadav,252,382,9.1,10,0,12
86,Varun Aaron,104,177,10.2,3,0.5,6
99,Y Chahal,281,415,8.9,23,4,15
