Player's Name,Run,Ball,Strike Rate,4's,6's,Ct_St,Matches Played
A Bains,0,0,0,0,0,0,0
AB de Villiers,480,275,174.5,39,30,6,12
Aditya Tare,0,0,0,0,0,1,0
Ajinkya Rahane,370,313,118.2,39,5,4,15
Ambati Rayudu,602,402,149.8,53,34,2,16
Anmolpreet Singh,0,0,0,0,0,0,0
Aryaman Birla,0,0,0,0,0,0,0
Chris Gayle,368,252,146,30,27,2,11
Chris Lynn,491,377,130.2,56,18,3,16
Colin Munro,63,41,153.7,7,4,2,5
D Padikkal,0,0,0,0,0,0,0
David Miller,74,64,115.6,3,2,2,3
David Warner,0,0,0,0,0,0,0
Deepak Hooda,86,81,106.2,2,3,5,9
Dhruv Shorey,8,9,88.9,0,1,1,1
Dinesh Karthik,498,337,147.8,49,16,19,16
Evin Lewis,382,276,138.4,32,24,3,13
Faf du Plessis,162,129,125.6,17,6,1,6
H Klaasen ,0,0,0,0,0,0,0
Hanuma Vihari,0,0,0,0,0,0,0
Himmat Singh,0,0,0,0,0,0,0
Ishan Kishan,275,184,149.5,22,17,11,14
J Bairstow ,0,0,0,0,0,0,0
Joe Denly,0,0,0,0,0,0,0
Jos Buttler,548,353,155.2,52,21,10,13
Kane Williamson,735,516,142.4,63,28,6,17
Karun Nair,301,221,136.2,23,13,9,13
Lokesh Rahul,0,0,0,0,0,0,0
M Vijay,12,10,120,0,1,0,1
Manan Vohra,55,47,117,2,4,0,4
Mandeep Singh,252,186,135.5,16,11,4,14
Manish Pandey,284,246,115.4,22,5,9,15
Martin Guptill,0,0,0,0,0,0,0
Mayank Agarwal,120,94,127.7,9,5,2,11
MS Dhoni,455,302,150.7,24,30,14,16
N Jagadeesan ,0,0,0,0,0,0,0
N Pooran ,0,0,0,0,0,0,0
Nikhil Naik ,0,0,0,0,0,0,0
Parthiv Patel,153,109,140.4,20,4,3,6
Prashant Chopra,8,6,133.3,2,0,0,1
Prithvi Shaw,245,160,153.1,27,10,4,9
Q de Kock ,0,0,0,0,0,0,0
R Gaikwad,0,0,0,0,0,0,0
Rahul Tripathi,226,167,135.3,18,8,4,12
Ricky Bhui,0,5,0,0,0,0,1
Rinku Singh,29,31,93.5,4,0,6,4
Rishabh Pant,684,394,173.6,68,37,6,14
Robin Uthappa,351,265,132.5,30,21,5,16
Robin Uthappa,351,265,132.5,30,21,5,16
Rohit Sharma,286,215,133,25,12,8,14
Sam Billings,108,78,138.5,8,5,5,10
Sam Billings,108,78,138.5,8,5,5,10
Sanju Samson,441,320,137.8,30,19,5,15
Sanju Samson,441,320,137.8,30,19,5,15
Sarfaraz Khan,51,41,124.4,7,1,2,7
Shikhar Dhawan,497,363,136.9,59,14,12,16
Shreyas Iyer,411,310,132.6,29,21,4,14
Shubman Gill,203,139,146,22,5,3,13
Siddhesh Lad,0,0,0,0,0,0,0
Steven Smith,0,0,0,0,0,0,0
Suresh Raina,445,336,132.4,46,12,9,15
Suryakumar Yadav,512,384,133.3,61,16,8,14
Virat Kohli,530,381,139.1,52,18,8,14
W Saha ,0,0,0,0,0,0,0
Yuvraj Singh,65,73,89,6,2,1,8
