Player's Name,Run,Ball,Strike Rate,4's,6's,Ct_St,Matches Played,Age
A Bains ,0,0,0,0,0,0,0,0
AB de Villiers,360,219,164.4,34,15,1,14,29
Aditya Tare,123,83,148.2,14,5,0,4,25
Ajinkya Rahane,488,458,106.6,42,11,0.5,18,25
Ambati Rayudu,228,195,116.9,18,4,0.5,18,27
Anmolpreet Singh,0,0,0,0,0,0,0,0
Aryaman Birla,0,0,0,0,0,0,0,0
Chris Gayle,708,453,156.3,57,51,0,16,33
Chris Lynn,0,0,0,0,0,0,0,22
Colin Munro,0,0,0,0,0,0,0,0
D Padikkal,0,0,0,0,0,0,0,0
David Miller,418,254,164.6,28,24,0,12,24
David Warner,410,323,126.9,41,14,1,16,26
Deepak Hooda,0,0,0,0,0,0,0,0
Dhruv Shorey,0,0,0,0,0,0,0,0
Dinesh Karthik,489,385,127,51,14,1,18,28
Evin Lewis,0,0,0,0,0,0,0,0
Faf du Plessis,0,0,0,0,0,0,0,28
H Klaasen ,0,0,0,0,0,0,0,0
Hanuma Vihari,241,278,86.7,17,1,0.5,17,19
Himmat Singh,0,0,0,0,0,0,0,0
Ishan Kishan ,0,0,0,0,0,0,0,0
J Bairstow ,0,0,0,0,0,0,0,0
Joe Denly,0,0,0,0,0,0,0,0
Jos Buttler ,0,0,0,0,0,0,0,0
Kane Williamson,0,0,0,0,0,0,0,0
Karun Nair,9,12,75,0,0,0,2,21
Lokesh Rahul,20,16,125,4,0,0,5,20
M Vijay,0,0,0,0,0,0,0,0
Manan Vohra,161,117,137.6,22,2,0,12,19
Mandeep Singh,260,223,116.6,36,0,0.5,16,21
Manish Pandey,136,137,99.3,11,3,0,7,23
Martin Guptill,0,0,0,0,0,0,0,0
Mayank Agarwal,67,62,108.1,6,3,0,5,22
MS Dhoni,398,238,167.2,29,20,2.5,17,31
N Jagadeesan ,0,0,0,0,0,0,0,0
N Pooran ,0,0,0,0,0,0,0,0
Nikhil Naik ,0,0,0,0,0,0,0,0
Parthiv Patel,294,255,115.3,37,4,1.5,13,28
Prashant Chopra,0,0,0,0,0,0,0,0
Prithvi Shaw,0,0,0,0,0,0,0,0
Q de Kock ,0,0,0,0,0,0,0,0
R Gaikwad,0,0,0,0,0,0,0,0
Rahul Tripathi,0,0,0,0,0,0,0,0
Ricky Bhui,0,0,0,0,0,0,0,0
Rinku Singh,0,0,0,0,0,0,0,0
Rishabh Pant ,0,0,0,0,0,0,0,0
Robin Uthappa,434,371,117,42,12,1.3,16,27
Rohit Sharma,536,404,132.7,35,28,0.5,18,25
S Goswami ,0,0,0,0,0,0,0,0
Sam Billings ,0,0,0,0,0,0,0,0
Sanju Samson,206,178,115.7,19,5,2.5,11,18
Sarfaraz Khan,0,0,0,0,0,0,0,0
Shikhar Dhawan,311,253,122.9,37,5,0,10,27
Shimron Hetmyer,0,0,0,0,0,0,0,0
Shreyas Iyer,0,0,0,0,0,0,0,0
Shubman Gill,0,0,0,0,0,0,0,0
Siddhesh Lad,0,0,0,0,0,0,0,0
Simran Singh ,0,0,0,0,0,0,0,0
Steven Smith,159,132,120.5,15,4,0,7,23
Suresh Raina,548,364,150.5,50,18,2.5,17,26
Suryakumar Yadav,0,0,0,0,0,0,0,22
Virat Kohli,634,457,138.7,64,22,2.5,16,24
W Saha ,0,0,0,0,0,0,0,0
Yuvraj Singh,238,190,125.3,14,15,0,13,31
