Player's Name,Run,Ball,Strike Rate,4's,6's,Matches Played,Ct_St
A Bains ,0,0,0,0,0,0,0
AB de Villiers,513,293,175.1,60,22,8,1
Aditya Tare ,14,17,82.4,1,0,1,0
Ajinkya Rahane,540,413,130.8,53,13,3,1.5
Ambati Rayudu ,281,193,145.6,18,16,9,0
Anmolpreet Singh,0,0,0,0,0,0,0
Aryaman Birla,0,0,0,0,0,0,0
Chris Gayle,491,333,147.4,39,38,1,0
Chris Lynn,0,0,0,0,0,0,0
Colin Munro,0,0,0,0,0,0,0
D Padikkal,0,0,0,0,0,0,0
David Miller,357,266,134.2,21,21,7,0
David Warner ,562,359,156.5,65,21,8,0
Deepak Hooda,151,95,158.9,6,11,1,0.5
Dhruv Shorey,0,0,0,0,0,0,0
Dinesh Karthik ,141,117,120.5,15,4,18,3.5
Evin Lewis,0,0,0,0,0,0,0
Faf du Plessis,380,304,125,37,5,8,1
H Klaasen ,0,0,0,0,0,0,0
Hanuma Vihari,39,35,111.4,6,0,2,0.5
Himmat Singh,0,0,0,0,0,0,0
Ishan Kishan ,0,0,0,0,0,0,0
J Bairstow ,0,0,0,0,0,0,0
Joe Denly,0,0,0,0,0,0,0
Jos Buttler ,0,0,0,0,0,0,0
Kane Williamson,31,27,114.8,1,1,2,0
Karun Nair,181,145,124.8,18,5,3,0
Lokesh Rahul,142,126,112.7,8,5,1,1
M Vijay,0,0,0,0,0,0,0
Manan Vohra,82,81,101.2,4,5,2,0
Mandeep Singh,157,98,160.2,16,7,7,0
Manish Pandey,225,184,122.3,22,7,5,1.5
Martin Guptill,0,0,0,0,0,0,0
Mayank Agarwal,213,177,120.3,23,7,3,0
MS Dhoni,372,305,122,27,17,11,3.5
N Jagadeesan ,0,0,0,0,0,0,0
N Pooran ,0,0,0,0,0,0,0
Nikhil Naik ,0,0,0,0,0,0,0
Parthiv Patel ,339,246,137.8,47,5,10,2.5
Prashant Chopra,0,0,0,0,0,0,0
Prithvi Shaw,0,0,0,0,0,0,0
Q de Kock ,0,0,0,0,0,0,0
R Gaikwad,0,0,0,0,0,0,0
Rahul Tripathi,0,0,0,0,0,0,0
Ricky Bhui,0,0,0,0,0,0,0
Rinku Singh,0,0,0,0,0,0,0
Rishabh Pant ,0,0,0,0,0,0,0
Robin Uthappa ,364,277,131.4,42,7,12,2.5
Rohit Sharma ,482,333,144.7,41,21,5,0.5
S Goswami ,0,0,0,0,0,0,0
Sam Billings ,0,0,0,0,0,0,0
Sanju Samson ,204,163,125.2,16,8,9,3.5
Sarfaraz Khan,111,71,156.3,12,2,0,1
Shikhar Dhawan,353,286,123.4,45,6,6,0
Shimron Hetmyer,0,0,0,0,0,0,0
Shreyas Iyer,439,342,128.4,41,21,2,0
Shubman Gill,0,0,0,0,0,0,0
Siddhesh Lad,0,0,0,0,0,0,0
Simran Singh ,0,0,0,0,0,0,0
Steven Smith,293,221,132.6,33,3,7,1
Suresh Raina,0,0,0,0,0,0,0
Suryakumar Yadav,157,113,138.9,12,8,7,0
Virat Kohli ,505,386,130.8,35,23,7,2
W Saha ,0,0,0,0,0,0,0
Yuvraj Singh,248,210,118.1,23,10,2,0
