Score,Player's Name,Run,Ball,Strike Rate,4's,6's,Highest Run Scored,Ct_St,Matches Played,Age
0,A Bains ,0,0,0,0,0,0,0,0,0
98,AB de Villiers,687,407,168.8,57,37,129,19,16,32
54,Aditya Tare,8,15,53.3,1,0,8,1,3,28
95,Ajinkya Rahane,480,379,126.6,54,9,74,6,14,28
86,Ambati Rayudu,334,278,120.1,28,12,65,4,13,31
0,Anmolpreet Singh,0,0,0,0,0,0,0,0,0
0,Aryaman Birla,0,0,0,0,0,0,0,0,0
76,Chris Gayle,227,150,151.3,17,21,76,4,10,37
57,Chris Lynn,25,22,113.6,0,1,15,1,2,26
60,Colin Munro,30,30,100,3,0,16,2,4,29
0,D Padikkal,0,0,0,0,0,0,0,0,0
70,David Miller,161,131,122.9,11,4,31,10,14,27
99,David Warner,848,560,151.4,88,31,93,4,17,29
68,Deepak Hooda,144,121,119,9,5,34,3,17,21
0,Dhruv Shorey,0,0,0,0,0,0,0,0,0
88,Dinesh Karthik,335,266,125.9,38,3,53,14,16,31
0,Evin Lewis,0,0,0,0,0,0,0,0,0
75,Faf du Plessis,206,162,127.2,17,9,69,4,6,32
0,H Klaasen ,0,0,0,0,0,0,0,0,0
0,Hanuma Vihari,0,0,0,0,0,0,0,0,0
0,Himmat Singh,0,0,0,0,0,0,0,0,0
62,Ishan Kishan,42,41,102.4,5,0,27,1,5,18
0,J Bairstow ,0,0,0,0,0,0,0,0,0
0,Joe Denly,0,0,0,0,0,0,0,0,0
80,Jos Buttler,255,184,138.6,23,11,41,7,14,26
67,Kane Williamson,124,122,101.6,14,0,50,5,6,26
89,Karun Nair,357,297,120.2,40,6,83,3,14,24
93,Lokesh Rahul,397,271,146.5,37,16,68,9,14,24
0,M Vijay,0,0,0,0,0,0,0,0,0
69,Manan Vohra,161,131,122.9,19,3,51,3,7,23
52,Mandeep Singh,0,0,-,0,0,0,1,1,24
78,Manish Pandey,248,183,135.5,17,9,52,7,12,27
63,Martin Guptill,57,55,103.6,3,3,48,,3,30
58,Mayank Agarwal,27,25,108,3,1,10,0,3,25
83,MS Dhoni,284,210,135.2,18,14,64,12,14,35
0,N Jagadeesan ,0,0,0,0,0,0,0,0,0
0,N Pooran ,0,0,0,0,0,0,0,0,0
56,Nikhil Naik,23,31,74.2,1,0,22,2,2,21
72,Parthiv Patel,177,152,116.4,23,4,81,10,10,31
0,Prashant Chopra,0,0,0,0,0,0,0,0,0
0,Prithvi Shaw,0,0,0,0,0,0,0,0,0
0,Q de Kock ,0,0,0,0,0,0,0,0,0
0,R Gaikwad,0,0,0,0,0,0,0,0,0
0,Rahul Tripathi,0,0,0,0,0,0,0,0,0
51,Ricky Bhui,0,0,-,0,0,0,0,0,20
0,Rinku Singh,0,0,0,0,0,0,0,0,0
74,Rishabh Pant,198,152,130.3,19,6,69,3,10,19
91,Robin Uthappa,394,289,136.3,45,8,72,13,15,30
96,Rohit Sharma,489,368,132.9,49,16,85,2,14,29
0,S Goswami ,0,0,0,0,0,0,0,0,0
66,Sam Billings,88,64,137.5,4,4,54,3,5,25
85,Sanju Samson,291,259,112.4,20,8,60,4,14,21
64,Sarfaraz Khan,66,31,212.9,7,4,35,0,5,18
97,Shikhar Dhawan,501,429,116.8,51,8,82,5,17,30
0,Shimron Hetmyer,0,0,0,0,0,0,0,0,0
59,Shreyas Iyer,30,43,69.8,2,1,19,4,6,21
0,Shubman Gill,0,0,0,0,0,0,0,0,0
50,Siddhesh Lad,0,0,-,0,0,0,0,0,24
0,Simran Singh ,0,0,0,0,0,0,0,0,0
81,Steven Smith,270,176,153.4,27,8,101,2,8,27
94,Suresh Raina,399,312,127.9,39,10,75,7,15,29
73,Suryakumar Yadav,182,143,127.3,18,5,60,4,15,26
100,Virat Kohli,973,640,152,83,38,113,6,16,27
0,W Saha ,0,0,0,0,0,0,0,0,0
77,Yuvraj Singh,236,179,131.8,22,13,44,1,10,34
