Score,Player's Name,Balls Bowled,Runs Scored,Economy,Wickets,Ct_St,Matches Played
0,Adam Milne,0,0,0,0,0,0
91,Amit Mishra,222,264,7.1,12,0,10
100,Andrew Tye,336,448,8,24,5,14
88,Ankit Rajpoot,157,223,8.5,11,2,8
0,Anrich Nortje,0,0,0,0,0,0
0,Arshdeep Singh,0,0,0,0,0,0
72,Avesh Khan,114,204,10.7,4,3,6
0,B Ayyappa,0,0,0,0,0,0
71,Barinder Sran,132,229,10.4,4,2,6
74,Basil Thampi,61,114,11.2,5,2,4
83,Bhuvneshwar Kumar,277,354,7.7,9,2,12
75,Billy Stanlake,96,130,8.1,5,0,4
84,Deepak Chahar,229,278,7.3,10,1,12
70,Dhawal Kulkarni,119,188,9.5,4,1,8
82,Harbhajan Singh,191,270,8.5,7,4,13
0,Hardus Vilojen,0,0,0,0,0,0
0,Harry Gurney,0,0,0,0,0,0
80,Imran Tahir,124,188,9.1,6,2,6
78,Ish Sodhi,138,135,5.9,5,0,6
0,Ishant Sharma,0,0,0,0,0,0
0,Jason Behrendorff,0,0,0,0,0,0
94,Jasprit Bumrah,324,372,6.9,17,4,14
0,Jayant Yadav,0,0,0,0,0,0
87,Jaydev Unadkat,302,486,9.7,11,6,15
0,Kagiso Rabada,0,0,0,0,0,0
0,Kamlesh Nagarkoti,0,0,0,0,0,0
73,Karn Sharma,57,89,9.4,4,3,6
0,Khaleel Ahmed,0,0,0,0,0,0
0,KM Asif,0,0,0,0,0,0
95,Kuldeep Yadav,308,418,8.1,17,6,16
68,Kulwant Khejroliya,65,107,9.9,2,0,3
0,Lasith Malinga,0,0,0,0,0,0
0,Lockie Ferguson,0,0,0,0,0,0
89,Lungi Ngidi,156,156,6,11,1,7
0,M Ashwin,0,0,0,0,0,0
0,M Lomror,0,0,0,0,0,0
0,M Markande,0,0,0,0,0,0
0,M McClenaghan,0,0,0,0,0,0
0,Mitchell Santner,0,0,0,0,0,0
69,Mohammed Shami,83,144,10.4,3,2,4
86,Mohammed Siraj,246,367,9,11,5,11
81,Mohit Sharma,178,322,10.9,7,2,9
0,Monu Kumar,0,0,0,0,0,0
0,Mujeeb,0,0,0,0,0,0
0,N Coulter-Nile,0,0,0,0,0,0
0,Nathu Singh,0,0,0,0,0,0
0,Navdeep Saini,0,0,0,0,0,0
0,Oshane Thomas,0,0,0,0,0,0
92,Piyush Chawla,294,412,8.4,14,4,15
0,Prasidh Krishna,0,0,0,0,0,0
0,Prithvi Raj Yarra,0,0,0,0,0,0
85,R Ashwin,304,410,8.1,10,5,14
0,Rahul Chahar,0,0,0,0,0,0
79,Rahul Tewatia,132,173,7.9,6,4,8
99,Rashid Khan,408,458,6.7,21,6,17
0,Rasikh Dar,0,0,0,0,0,0
0,S Lamichhane,0,0,0,0,0,0
0,S Nadeem,0,0,0,0,0,0
0,S. Midhun,0,0,0,0,0,0
90,Sandeep Sharma,264,333,7.6,12,2,12
93,Shardul Thakur,280,431,9.2,16,5,13
77,Shivam Mavi,168,270,9.6,5,4,9
98,Siddarth Kaul,396,547,8.3,21,2,17
0,T Natarajan,0,0,0,0,0,0
76,Tim Southee,174,261,9,5,3,8
96,Trent Boult,316,466,8.8,18,9,14
97,Umesh Yadav,319,418,7.9,20,2,14
0,Varun Aaron,0,0,0,0,0,0
92,Y Chahal,300,363,7.3,12,2,14
