Player’s Name,2018,2017,2016,2015,2013,2012,2011,2010,2009,2008
Adam Milne,0,75,81,0,0,0,0,0,0,0
Amit Mishra,91,86,95,90,99,97,99,99,99,98
Andrew Tye,100,89,0,0,0,0,0,0,0,0
Ankit Rajpoot,88,78,85,0,87,0,0,0,0,0
Anrich Nortje,0,0,0,0,0,0,0,0,0,0
Arshdeep Singh,0,0,0,0,0,0,0,0,0,0
Avesh Khan,72,67,0,0,0,0,0,0,0,0
B Ayyappa,0,0,0,0,0,0,0,0,0,0
Barinder Sran,71,64,96,0,0,0,0,0,0,0
Basil Thampi,74,87,0,0,0,0,0,0,0,0
Bhuvneshwar Kumar,83,100,100,98,93,96,0,0,0,0
Billy Stanlake,75,70,0,0,0,0,0,0,0,0
Deepak Chahar,84,69,79,0,0,0,0,0,0,0
Dhawal Kulkarni,70,74,99,95,91,93,94,94,95,99
Harbhajan Singh,82,84,91,99,100,95,100,100,98,96
Hardus Vilojen,0,0,0,0,0,0,0,0,0,0
Harry Gurney,0,0,0,0,0,0,0,0,0,0
Imran Tahir,80,97,88,97,0,0,0,0,0,0
Ish Sodhi,78,0,0,0,0,0,0,0,0,0
Ishant Sharma,0,65,86,82,95,0,96,96,96,97
Jason Behrendorff,0,0,0,0,0,0,0,0,0,0
Jasprit Bumrah,94,98,98,87,88,0,0,0,0,0
Jayant Yadav,0,66,84,85,0,0,0,0,0,0
Jaydev Unadkat,87,99,78,81,94,92,0,0,0,0
Kagiso Rabada,0,81,0,0,0,0,0,0,0,0
Kamlesh Nagarkoti,0,0,0,0,0,0,0,0,0,0
Karn Sharma,73,92,80,92,0,0,0,0,0,0
Khaleel Ahmed,0,0,0,0,0,0,0,0,0,0
KM Asif,0,0,0,0,0,0,0,0,0,0
Kuldeep Yadav,95,90,89,0,0,0,0,0,0,0
Kulwant Khejroliya,68,0,0,0,0,0,0,0,0,0
Lasith Malinga,0,88,0,100,97,100,98,98,100,0
Lockie Ferguson,0,76,0,0,0,0,0,0,0,0
Lungi Ngidi,89,0,0,0,0,0,0,0,0,0
M Ashwin,0,0,0,0,0,0,0,0,0,0
M Lomror,0,0,0,0,0,0,0,0,0,0
M Markande,0,0,0,0,0,0,0,0,0,0
M McClenaghan,0,0,0,0,0,0,0,0,0,0
Mitchell Santner,0,0,0,0,0,0,0,0,0,0
Mohammed Shami,69,79,87,0,0,0,0,0,0,0
Mohammed Siraj,86,85,0,0,0,0,0,0,0,0
Mohit Sharma,81,91,94,96,98,0,0,0,0,0
Monu Kumar,0,0,0,0,0,0,0,0,0,0
Mujeeb,0,0,0,0,0,0,0,0,0,0
N Coulter-Nile,0,0,0,0,0,0,0,0,0,0
Nathu Singh,0,68,0,0,0,0,0,0,0,0
Navdeep Saini,0,0,0,0,0,0,0,0,0,0
Oshane Thomas,0,0,0,0,0,0,0,0,0,0
Piyush Chawla,92,82,93,93,92,98,97,97,97,100
Prasidh Krishna,0,0,0,0,0,0,0,0,0,0
Prithvi Raj Yarra,0,0,0,0,0,0,0,0,0,0
R Ashwin,85,0,0,0,0,0,0,0,94,0
Rahul Chahar,0,72,0,0,0,0,0,0,0,0
Rahul Tewatia,79,77,0,84,0,0,0,0,0,0
Rashid Khan,99,96,0,0,0,0,0,0,0,0
Rasikh Dar,0,0,0,0,0,0,0,0,0,0
S Lamichhane,0,0,0,0,0,0,0,0,0,0
S Nadeem,0,0,0,0,0,0,0,0,0,0
S. Midhun,0,0,0,0,0,0,0,0,0,0
Sandeep Sharma,90,94,97,94,90,0,0,0,0,0
Shardul Thakur,93,0,0,83,0,0,0,0,0,0
Shivam Mavi,77,0,0,0,0,0,0,0,0,0
Siddarth Kaul,98,93,0,0,89,0,0,0,0,0
T Natarajan,0,71,0,0,0,0,0,0,0,0
Tim Southee,76,73,90,88,0,0,0,0,0,0
Trent Boult,96,80,82,89,0,0,0,0,0,0
Umesh Yadav,97,95,92,91,96,99,95,95,0,0
Varun Aaron,0,83,83,86,0,94,0,0,0,0
Y Chahal,92,93,99,99,0,0,0,0,0,0
