Sl.No,Player's Name,Team,From,Run,Ball,Strike Rate,4's,6's,Highest Run Scored,Balls  Bowled,Runs Scored,Economy,Wickets,Ct_St
1,AB de Villiers ,DD,SA,512,392,130.6122449,0,0,0,#DIV/0!,13,1.5,15,25
2,Ajinkya Rahane ,MI,IND,144,123,117.0731707,1,6,5,5,1,0,8,20
3,Amit Mishra ,DD,IND,26,20,130,14,252,294,7,2,1,11,26
4,Chris Gayle ,KKR,WI,171,143,119.5804196,1,113,144,7.646017699,5,0,7,29
5,David Warner ,DD,AUS,163,132,123.4848485,0,0,0,#DIV/0!,5,2.5,7,22
6,Dhawal Kulkarni ,MI,IND,9,17,52.94117647,5,156,206,7.923076923,1,0,8,20
7,Dinesh Karthik ,DD,IND,288,217,132.718894,0,0,0,#DIV/0!,17,4,15,23
8,Dinesh Karthik ,DD,IND,288,217,132.718894,0,0,0,#DIV/0!,17,4,15,23
9,Dwayne Bravo ,MI,WI,218,203,107.3891626,11,199,259,7.809045226,7,2,10,25
10,Harbhajan Singh ,MI,IND,84,53,158.490566,12,264,256,5.818181818,3,1,13,28
11,Ishant Sharma ,KKR,IND,16,13,123.0769231,11,258,297,6.906976744,1,0,11,20
12,Kedar Jadhav ,RCB,IND,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,24
13,Lasith Malinga ,MI,SL,0,1,0,18,297,312,6.303030303,2,0.5,13,25
14,Manish Pandey ,RCB,IND,168,118,142.3728814,0,0,0,#DIV/0!,3,0,5,19
15,Moises Henriques ,KKR,AUS,38,40,95,2,73,109,8.95890411,2,0,4,22
16,MS Dhoni ,CSK,IND,332,261,127.2030651,0,0,0,#DIV/0!,8,2,14,27
17,MS Dhoni ,CSK,IND,332,261,127.2030651,0,0,0,#DIV/0!,8,2,14,27
18,Parthiv Patel  ,CSK,IND,142,126,112.6984127,0,0,0,#DIV/0!,3,0,9,24
19,Parthiv Patel  ,CSK,IND,142,126,112.6984127,0,0,0,#DIV/0!,3,0,9,24
20,Piyush Chawla ,KXI,IND,31,36,86.11111111,12,269,308,6.869888476,6,0,14,20
21,R Ashwin ,CSK,IND,8,15,53.33333333,2,24,13,3.25,2,0,2,22
22,Robin Uthappa ,RCB,IND,175,170,102.9411765,0,0,0,#DIV/0!,8,1.5,15,23
23,Robin Uthappa ,RCB,IND,175,170,102.9411765,0,0,0,#DIV/0!,8,1.5,15,23
24,Rohit Sharma ,DC,IND,326,283,115.1943463,11,138,161,7,5,1,16,22
25,S Goswami ,RCB,IND,53,60,88.33333333,0,0,0,#DIV/0!,1,0,2,20
26,S Goswami ,RCB,IND,53,60,88.33333333,0,0,0,#DIV/0!,1,0,2,20
27,Shane Watson ,RR,AUS,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,27
28,Shikhar Dhawan ,MI,IND,40,45,88.88888889,0,0,0,#DIV/0!,2,0,5,23
29,Suresh Raina ,CSK,IND,434,308,140.9090909,7,166,164,5.927710843,7,0.5,14,22
30,Umesh Yadav ,DD,IND,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,21
31,Virat Kohli ,RCB,IND,246,219,112.3287671,0,36,46,7.666666667,9,1,16,20
32,YC,CSK,,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,
33,Yusuf Pathan ,RR,IND,243,183,132.7868852,7,210,243,6.942857143,2,1.5,13,26
34,Yuvraj Singh,KXI,IND,340,295,115.2542373,6,120,142,7.1,5,1,14,27
