Sl.No,Player's Name,Team,From,Run,Ball,Strike Rate,4's,6's,Highest Run Scored,Balls  Bowled,Runs Scored,Economy,Wickets,Ct_St,Run Outs
1,AB de Villiers,RCB,SA,317,198,160.10101010101,26,15,0,0,-,0,9,15,28
2,Aditya Tare,MI,IND,0,0,-,0,0,0,0,-,0,0,0,24
3,Aditya Tare,MI,IND,0,0,-,0,0,0,0,-,0,0,0,24
4,Ajinkya Rahane,RR,IND,560,433,129.33025404157,73,10,0,0,-,0,11,16,24
5,Ambati Rayudu,MI,IND,333,252,132.142857142857,21,14,0,0,-,0,2,17,26
6,Amit Mishra,DC,IND,16,20,80,1,0,282,377,8.02127659574468,13,1,14,29
7,Andre Russell,DD,WI,31,15,206.666666666667,1,3,72,131,10.9166666666667,1,0,3,24
8,Bhuvneshwar Kumar,PWI,IND,40,40,100,4,0,234,281,7.2051282051282,8,0,11,21
9,Chris Gayle,RCB,WI,733,456,160.745614035088,46,59,28,66,14.1428571428571,0,2,14,32
10,Chris Lynn,DC,AUS,6,9,66.6666666666667,1,0,0,0,-,0,1,1,21
11,Colin Ingram,DD,SA,0,0,-,0,0,0,0,-,0,0,0,26
12,David Miller,KXI,SA,98,75,130.666666666667,6,4,0,0,-,0,2,6,23
13,David Warner,DD,AUS,253,149,169.798657718121,28,14,0,0,-,0,1,7,25
14,Deepak Chahar,RR,IND,0,0,-,0,0,0,0,-,0,0,0,19
15,Dhawal Kulkarni,MI,IND,10,5,200,2,0,48,64,8,6,2,2,23
16,Dinesh Karthik,MI,IND,238,213,111.737089201878,30,2,0,0,-,0,7,17,27
17,Dinesh Karthik,MI,IND,238,213,111.737089201878,30,2,0,0,-,0,7,17,27
18,Dwayne Bravo,CSK,WI,338,252,134.126984126984,17,18,306,389,7.62745098039216,13,8,16,28
19,Faf du Plessis,CSK,SA,398,304,130.921052631579,29,17,6,16,16,0,4,12,27
20,Gurkeerat Singh,KXI,IND,86,52,165.384615384615,12,2,0,0,-,0,2,5,21
21,Harbhajan Singh,MI,IND,108,80,135,14,3,324,384,7.11111111111111,6,7,17,31
22,Harshal Patel,RCB,IND,15,15,100,1,0,246,340,8.29268292682927,9,8,11,21
23,Ishant Sharma,DC,IND,0,0,-,0,0,0,0,-,0,0,0,23
24,Jaydev Unadkat,KKR,IND,0,0,-,0,0,18,32,10.6666666666667,0,0,1,20
25,Karun Nair,RCB,IND,0,0,-,0,0,0,0,-,0,0,0,20
26,Kieron Pollard,MI,WI,220,159,138.364779874214,15,14,263,350,7.98479087452472,16,6,14,24
27,Kuldeep Yadav,MI,IND,0,4,0,0,0,0,0,-,0,0,1,17
28,Lasith Malinga,MI,SL,55,53,103.77358490566,4,3,333,350,6.30630630630631,22,6,14,28
29,Mandeep Singh,KXI,IND,432,342,126.315789473684,53,7,0,0,-,0,5,16,20
30,Manish Pandey,PWI,IND,143,112,127.678571428571,12,6,0,0,-,0,3,10,22
31,Mayank Agarwal,RCB,IND,225,158,142.405063291139,19,15,0,0,-,0,9,15,21
32,MS Dhoni,CSK,IND,321,259,123.938223938224,23,7,0,0,-,0,13,16,30
33,MS Dhoni,CSK,IND,321,259,123.938223938224,23,7,0,0,-,0,13,16,30
34,Parthiv Patel,DC,IND,194,165,117.575757575758,19,4,0,0,-,0,6,14,27
35,Parthiv Patel,DC,IND,194,165,117.575757575758,19,4,0,0,-,0,6,14,27
36,Pawan Negi,DD,IND,28,23,121.739130434783,4,0,108,119,6.61111111111111,6,0,7,19
37,Piyush Chawla,KXI,IND,106,88,120.454545454545,9,4,342,419,7.35087719298246,16,3,16,23
38,Robin Uthappa,PWI,IND,405,343,118.075801749271,38,10,0,0,-,0,9,16,26
39,Robin Uthappa,PWI,IND,405,343,118.075801749271,38,10,0,0,-,0,9,16,26
40,Rohit Sharma,MI,IND,433,342,126.608187134503,39,18,6,16,16,0,13,17,24
41,Sanju Samson,KKR,IND,0,0,-,0,0,0,0,-,0,0,0,17
42,Sanju Samson,KKR,IND,0,0,-,0,0,0,0,-,0,0,0,17
43,Shakib Al Hasan,KKR,BAN,80,67,119.402985074627,5,3,162,170,6.2962962962963,11,0,7,25
44,Shane Watson,RR,AUS,255,168,151.785714285714,26,14,138,161,7,6,2,7,31
45,Shikhar Dhawan,DC,IND,569,439,129.612756264237,58,18,36,55,9.16666666666667,3,5,15,26
46,Steven Smith,PWI,AUS,362,267,135.580524344569,24,14,2,5,15,0,10,15,22
47,Stuart Binny,RR,IND,90,67,134.328358208955,9,3,60,78,7.8,3,1,8,28
48,Sunil Narine,KKR,WI,9,7,128.571428571429,2,0,331,287,5.202416918429,24,1,14,24
49,Suresh Raina,CSK,IND,341,270,126.296296296296,30,13,84,105,7.5,2,9,16,25
50,Suryakumar Yadav,MI,IND,0,0,-,0,0,0,0,-,0,0,0,21
51,Umesh Yadav,DD,IND,1,3,33.3333333333333,0,0,342,425,7.45614035087719,18,2,16,24
52,Varun Aaron,DD,IND,1,1,100,0,0,162,208,7.7037037037037,6,1,7,22
53,Virat Kohli,RCB,IND,364,326,111.656441717791,33,9,18,49,16.3333333333333,0,7,15,23
54,Yusuf Pathan,KKR,IND,193,167,115.568862275449,10,7,126,165,7.85714285714286,3,3,16,29
55,Yuvraj Singh,PWI,IND,0,0,-,0,0,0,0,-,0,0,0,30
