Sl.No,Player's Name,Team,From,Run,Ball,Strike Rate,4's,6's,Highest Run Scored,Balls  Bowled,Runs Scored,Economy,Wickets,Ct_St,Run Outs,Matches Played
1,AB de Villiers,RCB,SA,513,293,175.1,60,22,133,0,0,-,0,8,1,16
2,Aditya Tare ,MI,IND,14,17,82.4,1,0,7,0,0,-,0,1,0,2
3,Aditya Tare ,MI,IND,14,17,82.4,1,0,7,0,0,-,0,1,0,2
4,Ajinkya Rahane,RR,IND,540,413,130.8,53,13,91,0,0,-,0,3,1.5,14
5,Ambati Rayudu ,MI,IND,281,193,145.6,18,16,53,0,0,-,0,9,0,15
6,Amit Mishra,DD,IND,8,12,66.7,0,0,4,241,310,7.7,9,2,0,12
7,Andre Russell,KKR,WI,326,169,192.9,35,19,66,244,324,8,14,6,0,13
8,Axar Patel,KXI,IND,206,174,118.4,13,8,40,280,392,8.4,13,7,2,14
9,Bhuvneshwar Kumar,SRH,IND,17,10,170,2,1,11,310,407,7.9,18,5,1,14
10,Chris Gayle,RCB,WI,491,333,147.4,39,38,117,12,15,7.5,0,1,0,14
11,Chris Morris,RR,SA,76,46,165.2,3,5,34,252,311,7.4,13,3,0,11
12,David Miller,KXI,SA,357,266,134.2,21,21,89,0,0,-,0,7,0,13
13,David Warner ,SRH,AUS,562,359,156.5,65,21,91,0,0,-,0,8,0,14
14,Deepak Hooda,RR,IND,151,95,158.9,6,11,54,91,129,8.5,1,1,0.5,14
15,Dhawal Kulkarni,RR,IND,4,11,36.4,0,0,3,210,277,7.9,13,5,0,11
16,Dinesh Karthik ,RCB,IND,141,117,120.5,15,4,28,0,0,-,0,18,3.5,16
17,Dinesh Karthik ,RCB,IND,141,117,120.5,15,4,28,0,0,-,0,18,3.5,16
18,Dwayne Bravo,CSK,WI,195,148,131.8,22,5,62,314,426,8.1,26,13,2,17
19,Faf du Plessis,CSK,SA,380,304,125,37,5,55,0,0,-,0,8,1,17
20,Hanuma Vihari,SRH,IND,39,35,111.4,6,0,16,0,0,-,0,2,0.5,5
21,Harbhajan Singh,MI,IND,117,73,160.3,9,9,64,342,446,7.8,18,3,0,15
22,Hardik Pandya,MI,IND,112,62,180.6,9,8,61,102,176,10.4,1,7,0.5,9
23,Harshal Patel,RCB,IND,19,12,158.3,0,2,9,263,328,7.5,17,1,0.5,15
24,Imran Tahir,DD,SA,5,6,83.3,0,0,3,213,314,8.8,15,3,0,10
25,Ishant Sharma,SRH,IND,0,0,-,0,0,0,84,159,11.4,1,0,0,4
26,Jasprit Bumrah,MI,IND,0,0,-,0,0,0,90,184,12.3,3,0,0,4
27,Jayant Yadav,DD,IND,0,0,-,0,0,0,42,29,4.1,2,1,0,3
28,Jaydev Unadkat,DD,IND,0,0,-,0,0,0,18,30,10,0,0,0,1
29,Kane Williamson,SRH,NZ,31,27,114.8,1,1,26,0,0,-,0,2,0,2
30,Karn Sharma,SRH,IND,104,85,122.4,3,6,32,239,332,8.3,10,4,0,14
31,Karun Nair,RR,IND,181,145,124.8,18,5,61,0,0,-,0,3,0,14
32,Kedar Jadhav,DD,IND,189,140,135,16,7,63,0,0,-,0,9,0.5,14
33,Kieron Pollard,MI,WI,419,256,163.7,28,28,70,76,120,9.5,3,9,1.5,16
34,Lasith Malinga,MI,SL,6,10,60,1,0,6,360,444,7.4,24,2,1,15
35,Lokesh Rahul,SRH,IND,142,126,112.7,8,5,44,0,0,-,0,1,1,9
36,Lokesh Rahul,SRH,IND,142,126,112.7,8,5,44,0,0,-,0,1,1,9
37,Manan Vohra,KXI,IND,82,81,101.2,4,5,39,0,0,-,0,2,0,7
38,Mandeep Singh,RCB,IND,157,98,160.2,16,7,54,0,0,-,0,7,0,14
39,Manish Pandey,KKR,IND,225,184,122.3,22,7,40,0,0,-,0,5,1.5,13
40,Mayank Agarwal,DD,IND,213,177,120.3,23,7,68,0,0,-,0,3,0,10
41,Mohit Sharma,CSK,IND,28,18,155.6,1,2,21,342,481,8.4,14,5,0,16
42,Moises Henriques,SRH,AUS,287,211,136,19,13,74,150,158,6.3,11,1,0,9
43,MS Dhoni,CSK,IND,372,305,122,27,17,53,0,0,-,0,11,3.5,17
44,MS Dhoni,CSK,IND,372,305,122,27,17,53,0,0,-,0,11,3.5,17
45,Parthiv Patel ,MI,IND,339,246,137.8,47,5,59,0,0,-,0,10,2.5,14
46,Parthiv Patel ,MI,IND,339,246,137.8,47,5,59,0,0,-,0,10,2.5,14
47,Pawan Negi,CSK,IND,116,73,158.9,10,5,36,180,252,8.4,6,4,0.5,10
48,Piyush Chawla,KKR,IND,54,47,114.9,5,2,22,210,269,7.7,11,2,0,13
49,Rahul Tewatia,RR,IND,0,0,-,0,0,0,18,31,10.3,1,0,1,1
50,Robin Uthappa ,KKR,IND,364,277,131.4,42,7,80,0,0,-,0,12,2.5,13
51,Robin Uthappa ,KKR,IND,364,277,131.4,42,7,80,0,0,-,0,12,2.5,13
52,Rohit Sharma ,MI,IND,482,333,144.7,41,21,98,0,0,-,0,5,0.5,16
53,Sandeep Sharma,KXI,IND,9,14,64.3,1,0,7,300,350,7,13,2,0,14
54,Sanju Samson ,RR,IND,204,163,125.2,16,8,76,0,0,-,0,9,3.5,14
55,Sanju Samson ,RR,IND,204,163,125.2,16,8,76,0,0,-,0,9,3.5,14
