Sl.No,Player's Name,Team,From,Run,Ball,Strike Rate,4's,6's,Highest Run Scored,Balls  Bowled,Runs Scored,Economy,Wickets,Ct_St,Run Outs,Matches Played,Age
1,AB de Villiers,RCB,SA,687,407,168.8,57,37,129,0,0,-,0,19,0,16,32
2,Adam Milne,RCB,NZ,0,0,-,0,0,0,24,43,10.8,1,1,0,1,24
3,Aditya Tare,SH,IND,8,15,53.3,1,0,8,0,0,-,0,1,0,3,28
4,Aditya Tare,SH,IND,8,15,53.3,1,0,8,0,0,-,0,1,0,3,28
5,Ajinkya Rahane,RPS,IND,480,379,126.6,54,9,74,0,0,-,0,6,0.5,14,28
6,Ambati Rayudu,MI,IND,334,278,120.1,28,12,65,0,0,-,0,4,0.5,13,31
7,Amit Mishra,GL,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,24
8,Amit Mishra,DD,IND,4,14,28.6,1,0,3,276,344,7.5,13,3,1,14,24
9,Andre Russell,KKR,WI,188,114,164.9,10,15,39,219,291,8,15,2,1.5,12,28
10,Andrew Tye,GL,AUS,0,0,-,0,0,0,0,0,-,0,0,0,0,29
11,Ankit Rajpoot,KKR,IND,0,0,-,0,0,0,66,98,8.9,3,0,0.5,4,22
12,Axar Patel,KXI,IND,111,77,144.2,4,8,36,287,388,8.1,13,2,0,14,22
13,Barinder Sran,SH,IND,4,4,100,0,0,2,297,413,8.3,14,2,1.5,14,23
14,Ben Cutting,SH,AUS,65,34,191.2,4,6,39,67,80,7.2,5,1,0,4,29
15,Bhuvneshwar Kumar,SH,IND,43,27,159.3,6,1,21,396,490,7.4,23,6,1,17,26
16,Chris Gayle,RCB,WI,227,150,151.3,17,21,76,60,63,6.3,2,4,0,10,37
17,Chris Lynn,KKR,AUS,25,22,113.6,0,1,15,0,0,-,0,1,0,2,26
18,Chris Morris,DD,SA,195,109,178.9,15,12,82,264,308,7,13,8,2.3,12,29
19,Colin Munro,KKR,NZ,30,30,100,3,0,16,12,15,7.5,0,2,0,4,29
20,David Miller,KXI,SA,161,131,122.9,11,4,31,0,0,-,0,10,2,14,27
21,David Warner,SH,AUS,848,560,151.4,88,31,93,0,0,-,0,4,0,17,29
22,Deepak Chahar,RPS,IND,0,0,-,0,0,0,30,41,8.2,0,1,0,2,24
23,Deepak Hooda,SH,IND,144,121,119,9,5,34,78,97,7.5,3,3,1,17,21
24,Dhawal Kulkarni,GL,IND,27,16,168.8,3,0,10,294,364,7.4,18,2,0,14,27
25,Dinesh Karthik,GL,IND,335,266,125.9,38,3,53,0,0,-,0,14,1,16,31
26,Dinesh Karthik,GL,IND,335,266,125.9,38,3,53,0,0,-,0,14,1,16,31
27,Dwayne Bravo,GL,WI,99,82,120.7,11,1,22,336,494,8.8,17,6,1.5,15,33
28,Faf du Plessis,RPS,SA,206,162,127.2,17,9,69,0,0,-,0,4,0,6,32
29,Harbhajan Singh,MI,IND,92,84,109.5,11,2,45,294,392,8,9,4,1,14,36
30,Hardik Pandya,MI,IND,44,63,69.8,4,0,9,100,153,9.2,3,6,0,11,23
31,Harshal Patel,RCB,IND,0,0,-,0,0,0,84,147,10.5,1,2,0,5,25
32,Imran Tahir,DD,SA,5,7,71.4,1,0,5,96,138,8.6,5,0,0,4,37
33,Ishan Kishan,GL,IND,42,41,102.4,5,0,27,0,0,-,0,1,0,5,18
34,Ishan Kishan,GL,IND,42,41,102.4,5,0,27,0,0,-,0,1,0,5,18
35,Ishant Sharma,RPS,IND,0,0,-,0,0,0,90,148,9.9,3,2,0,4,28
36,Jasprit Bumrah,MI,IND,8,11,72.7,1,0,6,312,406,7.8,15,1,0,14,22
37,Jayant Yadav,DD,IND,6,10,60,0,0,5,102,125,7.4,2,1,0,5,26
38,Jaydev Unadkat,KKR,IND,0,0,-,0,0,0,18,49,16.3,0,0,0,1,24
39,Jos Buttler,MI,ENG,255,184,138.6,23,11,41,0,0,-,0,7,0.5,14,26
40,Jos Buttler,MI,ENG,255,184,138.6,23,11,41,0,0,-,0,7,0.5,14,26
41,Kane Williamson,SH,NZ,124,122,101.6,14,0,50,6,7,7,0,5,0,6,26
42,Karn Sharma,SH,IND,36,30,120,3,1,26,98,171,10.5,0,0,0,5,28
43,Karun Nair,DD,IND,357,297,120.2,40,6,83,0,0,-,0,3,0.8,14,24
44,Kedar Jadhav,RCB,IND,42,32,131.3,2,2,25,0,0,-,0,1,0,4,31
45,Khaleel Ahmed,DD,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,18
46,Kieron Pollard,MI,WI,207,144,143.8,11,16,51,36,81,13.5,0,5,0,13,29
47,Krunal Pandya,MI,IND,237,124,191.1,22,13,86,187,236,7.6,6,2,0.5,12,25
48,Kuldeep Yadav,KKR,IND,0,0,-,0,0,0,72,100,8.3,6,3,1,3,21
49,Lasith Malinga,MI,SL,0,0,-,0,0,0,0,0,-,0,0,0,0,33
50,Lokesh Rahul,RCB,IND,397,271,146.5,37,16,68,0,0,-,0,9,2.5,14,24
51,Lokesh Rahul,RCB,IND,397,271,146.5,37,16,68,0,0,-,0,9,2.5,14,24
52,Manan Vohra,KXI,IND,161,131,122.9,19,3,51,0,0,-,0,3,0,7,23
53,Mandeep Singh,RCB,IND,0,0,-,0,0,0,0,0,-,0,1,0,1,24
54,Manish Pandey,KKR,IND,248,183,135.5,17,9,52,0,0,-,0,7,1.5,12,27
55,Marcus Stoinis,KXI,AUS,146,108,135.2,13,4,52,138,194,8.4,8,0,0.5,7,27
56,Martin Guptill,MI,NZ,57,55,103.6,3,3,48,0,0,-,0,,0,3,30
57,Mayank Agarwal,DD,IND,27,25,108,3,1,10,0,0,-,0,0,0,3,25
58,Mohammed Shami,DD,IND,2,4,50,0,0,2,151,244,9.7,5,1,1,8,26
