Sl.No,Player's Name,Team,From,Run,Ball,Strike Rate,4's,6's,Highest Run Scored,Balls  Bowled,Runs Scored,Economy,Wickets,Ct_St,Run Outs,Matches Played,Age,Type
1,AB de Villiers,RCB,SA,216,163,132.5,12,16,89,0,0,-,0,6,0,9,33,BAT
2,Adam Milne,RCB,NZ,7,12,58.3,0,0,5,84,134,9.6,3,4,0,4,25,Bowl
3,Aditya Tare,DD,IND,18,23,78.3,3,0,18,0,0,-,0,0,0,3,29,WK
4,Aditya Tare,DD,IND,18,23,78.3,3,0,18,0,0,-,0,0,0,3,29,WK
5,Ajinkya Rahane,RPS,IND,382,323,118.3,35,9,60,0,0,-,0,6,0.5,16,29,BAT
6,Ambati Rayudu,MI,IND,91,78,116.7,7,3,63,0,0,-,0,3,0,5,32,BAT
7,Amit Mishra,DD,IND,49,52,94.2,2,2,13,233,343,8.8,10,3,0.5,14,25,Bowl
8,Andrew Tye,GL,AUS,53,30,176.7,4,3,25,126,141,6.7,12,0,0,6,30,Bowl
9,Ankit Rajpoot,KKR,IND,4,7,57.1,1,0,4,84,107,7.6,4,1,0,5,23,Bowl
10,Avesh Khan,RCB,IND,0,0,-,0,0,0,24,23,5.8,1,0,0,1,20,Bowl
11,Axar Patel,KXI,IND,227,162,140.1,11,11,44,288,362,7.5,15,7,0.5,14,23,AR
12,Barinder Sran,SH,IND,0,0,-,0,0,0,12,29,14.5,0,0,0,1,24,Bowl
13,Basil Thampi,GL,IND,28,28,100,1,1,13,268,424,9.5,11,2,1,12,24,Bowl
14,Ben Cutting,SH,AUS,51,26,196.2,5,3,20,76,123,9.7,1,1,1,4,30,AR
15,Ben Stokes,RPS,ENG,316,221,143,22,15,103,264,316,7.2,12,5,1.5,12,26,AR
16,Bhuvneshwar Kumar,SH,IND,4,4,100,0,0,4,314,369,7.1,26,4,1.5,14,27,Bowl
17,Billy Stanlake,RCB,AUS,0,0,-,0,0,0,48,70,8.8,2,1,0,2,22,Bowl
18,Chris Gayle,RCB,WI,200,163,122.7,15,14,77,0,0,-,0,2,0,9,38,BAT
19,Chris Lynn,KKR,AUS,295,163,181,25,19,93,0,0,-,0,2,0,7,27,BAT
20,Chris Morris,DD,SA,154,94,163.8,15,6,52,186,240,7.7,12,5,0,9,30,AR
21,David Miller,KXI,SA,83,80,103.8,4,4,30,0,0,-,0,3,0,5,28,BAT
22,David Warner,SH,AUS,641,452,141.8,63,26,126,0,0,-,0,10,0.5,14,30,BAT
23,Deepak Chahar,RPS,IND,14,6,233.3,0,2,14,42,74,10.6,1,0,0,3,25,Bowl
24,Deepak Hooda,SH,IND,78,52,150,5,4,19,24,42,10.5,2,5,0,10,22,BAT
25,Dhawal Kulkarni,GL,IND,1,2,50,0,0,1,113,173,9.2,3,1,0,6,28,Bowl
26,Dinesh Karthik,GL,IND,361,259,139.4,30,11,65,0,0,-,0,8,1,14,32,WK
27,Dinesh Karthik,GL,IND,361,259,139.4,30,11,65,0,0,-,0,8,1,14,32,WK
28,Dwayne Bravo,GL,WI,0,0,-,0,0,0,0,0,-,0,0,0,0,34,AR
29,Faf du Plessis,RPS,SA,8,7,114.3,1,0,8,0,0,-,0,0,0,2,33,BAT
30,Harbhajan Singh,MI,IND,16,16,100,0,1,7,246,266,6.5,8,2,0,11,37,Bowl
31,Hardik Pandya,MI,IND,250,160,156.3,11,20,35,156,213,8.2,6,12,1,17,24,AR
32,Harshal Patel,RCB,IND,0,0,-,0,0,0,24,43,10.8,3,0,0,1,26,Bowl
33,Imran Tahir,RPS,SA,0,2,0,0,0,0,282,369,7.9,18,2,0,12,38,Bowl
34,Ishan Kishan,GL,IND,277,206,134.5,29,13,61,0,0,-,0,3,0,11,19,WK
35,Ishan Kishan,GL,IND,277,206,134.5,29,13,61,0,0,-,0,3,0,11,19,WK
36,Ishant Sharma,KXI,IND,8,12,66.7,1,0,5,108,179,9.9,0,0,0,6,29,Bowl
37,Jasprit Bumrah,MI,IND,16,12,133.3,0,1,16,356,440,7.4,20,2,3,16,23,Bowl
38,Jayant Yadav,DD,IND,0,0,-,0,0,0,36,42,7,0,0,0,2,27,AR
39,Jaydev Unadkat,RPS,IND,2,5,40,0,0,2,275,322,7,24,9,1.5,12,26,Bowl
40,Jos Buttler,MI,ENG,272,177,153.7,27,16,77,0,0,-,0,1,0,10,27,WK
41,Jos Buttler,MI,ENG,272,177,153.7,27,16,77,0,0,-,0,1,0,10,27,WK
42,Kagiso Rabada,DD,SA,55,64,85.9,5,1,44,128,188,8.8,6,0,2,6,22,Bowl
43,Kane Williamson,SH,NZ,256,169,151.5,20,10,89,0,0,-,0,1,0,7,27,BAT
44,Karn Sharma,MI,IND,49,41,119.5,5,2,19,184,214,7,13,3,0,9,29,AR
45,Karun Nair,DD,IND,281,226,124.3,39,6,64,0,0,-,0,2,1.5,14,25,BAT
46,Kedar Jadhav,RCB,IND,267,186,143.5,25,10,69,0,0,-,0,10,1,13,32,BAT
47,Khaleel Ahmed,DD,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,19,Bowl
48,Kieron Pollard,MI,WI,385,276,139.5,26,22,70,11,30,16.4,0,15,0,17,30,AR
49,Krunal Pandya,MI,IND,243,179,135.8,24,7,47,240,273,6.8,10,2,0,13,26,AR
50,Kuldeep Yadav,KKR,IND,20,22,90.9,2,0,16,246,340,8.3,12,3,2,12,22,Bowl
51,Kulwant Khejroliya,MI,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,25,Bowl
52,Lasith Malinga,MI,SL,7,3,233.3,0,1,7,269,382,8.5,11,1,0,12,34,Bowl
53,Lockie Ferguson,RPS,NZ,1,1,100,0,0,1,78,93,7.2,3,0,0.5,4,26,Bowl
54,Lokesh Rahul,RCB,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,25,WK
55,Lokesh Rahul,RCB,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,25,WK
56,Manan Vohra,KXI,IND,229,159,144,23,9,95,0,0,-,0,2,0,11,24,BAT
57,Mandeep Singh,RCB,IND,188,177,106.2,21,4,52,0,0,-,0,6,0,11,25,BAT
58,Manish Pandey,KKR,IND,396,308,128.6,28,12,81,0,0,-,0,8,0,14,28,BAT
59,Marcus Stoinis,KXI,AUS,17,24,70.8,1,0,9,63,110,10.5,2,3,0,5,28,AR
60,Martin Guptill,KXI,NZ,132,88,150,17,5,50,0,0,-,0,6,0,7,31,BAT
61,Mayank Agarwal,RPS,IND,26,27,96.3,3,0,20,0,0,-,0,2,1,3,26,BAT
62,Mohammad Nabi,SH,AFG,2,3,66.7,0,0,2,66,58,5.3,2,0,0,3,32,AR
63,Mohammed Shami,DD,IND,36,24,150,4,2,21,156,243,9.3,5,0,1.5,8,27,Bowl
64,Mohammed Siraj,SH,IND,0,0,-,0,0,0,138,212,9.2,10,1,0,6,23,Bowl
65,Mohit Sharma,KXI,IND,51,50,102,3,0,13,274,410,9,13,3,0,14,29,Bowl
66,Moises Henriques,SH,AUS,277,203,136.5,28,4,55,144,248,10.3,1,5,0,12,30,AR
67,MS Dhoni,RPS,IND,290,250,116,15,16,61,0,0,-,0,13,3,16,36,WK
68,MS Dhoni,RPS,IND,290,250,116,15,16,61,0,0,-,0,13,3,16,36,WK
69,Nathu Singh,GL,IND,0,0,-,0,0,0,24,15,3.8,1,0,0,2,22,Bowl
70,Navdeep Saini,DD,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,24,Bowl
71,Nikhil Naik,KXI,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,22,WK
72,Nikhil Naik,KXI,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,22,WK
73,Nitish Rana,MI,IND,333,264,126.1,24,17,62,0,0,-,0,4,0,13,23,BAT
74,Parthiv Patel,MI,IND,395,293,134.8,49,8,70,0,0,-,0,8,1.5,16,32,WK
75,Parthiv Patel,MI,IND,395,293,134.8,49,8,70,0,0,-,0,8,1.5,16,32,WK
76,Pawan Negi,RCB,IND,144,111,129.7,10,7,35,193,197,6.1,16,3,0.5,12,24,AR
77,Piyush Chawla,KKR,IND,2,6,33.3,0,0,2,120,179,9,6,1,0,6,28,Bowl
78,Rahul Chahar,RPS,IND,3,2,150,0,0,3,42,58,8.3,2,1,0,3,18,Bowl
79,Rahul Tewatia,KXI,IND,19,11,172.7,4,0,15,54,49,5.4,3,0,0,3,24,AR
80,Rahul Tripathi,RPS,IND,391,267,146.4,43,17,93,6,12,12,0,5,0,14,26,AR
81,Rashid Khan,SH,AFG,11,9,122.2,0,1,6,324,358,6.6,17,5,2,14,19,Bowl
82,Ricky Bhui,SH,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,21,BAT
83,Rinku Singh,KXI,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,20,BAT
84,Rishabh Pant,DD,IND,366,221,165.6,28,24,97,0,0,-,0,11,0.5,14,20,WK
85,Robin Uthappa,KKR,IND,388,235,165.1,36,21,87,0,0,-,0,15,0.5,14,31,WK
86,Robin Uthappa,KKR,IND,388,235,165.1,36,21,87,0,0,-,0,15,0.5,14,31,WK
87,Rohit Sharma,MI,IND,333,273,122,31,9,67,0,0,-,0,10,0,17,30,BAT
88,Sam Billings,DD,ENG,138,104,132.7,19,1,55,0,0,-,0,4,0,6,26,WK
89,Sam Billings,DD,ENG,138,104,132.7,19,1,55,0,0,-,0,4,0,6,26,WK
90,Sandeep Sharma,KXI,IND,7,6,116.7,0,0,5,288,398,8.3,17,3,0,13,24,Bowl
91,Sanju Samson,DD,IND,386,273,141.4,32,19,102,0,0,-,0,4,1,14,22,WK
92,Sanju Samson,DD,IND,386,273,141.4,32,19,102,0,0,-,0,4,1,14,22,WK
93,Sarfaraz Khan,RCB,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,19,BAT
94,Shakib Al Hasan,KKR,BAN,1,1,100,0,0,1,18,31,10.3,0,0,0,1,30,AR
95,Shane Watson,RCB,AUS,71,78,91,6,1,24,161,245,9.1,5,2,0,8,36,AR
96,Shardul Thakur,KXI,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,26,Bowl
97,Shardul Thakur,RPS,IND,0,3,0,0,0,0,229,315,8.3,11,4,2,12,26,Bowl
98,Shashank Singh,DD,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,25,AR
99,Shikhar Dhawan,SH,IND,479,376,127.4,53,9,77,0,0,-,0,7,0,14,31,BAT
100,Shreyas Gopal,MI,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,24,Bowl
