Sl. NO,Player,Team,From,Runs,Balls,Strike Rate,Balls Bowled,Runs Conceded,Wickets,Economy,Ct_St,Run Outs,Matches Played ,Age
1,Aakash Chopra,KKR,IND,42,52,80.76923077,0,0,0,#DIV/0!,2,0,5,30
2,AB de Villiers,DD,SA,95,98,96.93877551,0,0,0,#DIV/0!,5,1.5,6,24
3,Abdur Razzak,RCB,BAN,0,2,0,12,29,0,14.5,0,0,1,25
4,Abhinav Mukund,CSK,IND,0,1,0,0,0,0,#DIV/0!,3,0,2,18
5,Abhishek Nayar,MI,IND,206,138,149.2753623,42,68,1,9.714285714,4,0,14,24
6,Adam Gilchrist ,DC,AUS,436,318,137.1069182,0,0,0,#DIV/0!,7,1,14,36
7,Aditya Angle,RR,IND,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,24
8,Ajanta Mendis,KKR,SL,0,0,#DIV/0!,24,24,1,6,0,0,1,23
9,Ajinkya Rahane,MI,IND,4,17,23.52941176,0,0,0,#DIV/0!,1,0.5,2,20
10,Ajit Agarkar,KKR,IND,54,46,117.3913043,156,207,8,7.961538462,1,0.5,9,30
11,Ajitesh Argal,KXI,IND,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,19
12,Albie Morkel,CSK,SA,225,150,150,240,347,13,8.675,3,0,11,27
13,Amit Mishra,DD,IND,35,37,94.59459459,96,101,9,6.3125,0,0,5,25
14,Andre Nel,MI,SA,0,0,#DIV/0!,18,31,1,10.33333333,0,0,1,31
15,Andrew Symonds,DC,AUS,161,105,153.3333333,41,101,0,14.7804878,3,0,4,33
16,Anil Kumble,RCB,IND,13,17,76.47058824,229,304,7,7.965065502,4,0,10,37
17,Ankeet Chavan,MI,IND,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,22
18,Anup Revandkar,RR,IND,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,20
19,Arjun Yadav,DC,IND,49,39,125.6410256,0,0,0,#DIV/0!,1,1,8,26
20,Arun Karthik,CSK,IND,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,22
21,Ashish Nehra,MI,IND,3,13,23.07692308,269,348,12,7.762081784,7,0,14,29
22,Ashley Noffke,RCB,AUS,9,10,90,24,40,1,10,0,0,1,30
23,Ashok Dinda,KKR,IND,2,4,50,234,260,9,6.666666667,1,1,13,24
24,Ashwell Prince,MI,SA,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,31
25,B McCullum ,KKR,NZ,188,92,204.3478261,0,0,0,#DIV/0!,1,0,4,26
26,Balachandra Akhil,RCB,IND,46,31,148.3870968,98,134,2,8.204081633,3,0,7,30
27,Bharat Chipli,RCB,IND,20,28,71.42857143,0,0,0,#DIV/0!,2,0,3,25
28,Brad Hodge,KKR,AUS,12,17,70.58823529,0,0,0,#DIV/0!,1,1,3,33
29,Brett Geeves,DD,AUS,0,0,#DIV/0!,48,91,1,11.375,3,0.5,2,26
30,Brett Lee,KXI,AUS,17,13,130.7692308,88,112,4,7.636363636,3,1,4,31
31,Cameron White,RCB,AUS,114,102,111.7647059,6,24,0,24,3,1.5,8,24
32,Chamara Silva,DC,SL,40,26,153.8461538,6,21,0,21,3,1,3,28
33,Chaminda Vaas,DC,SL,21,18,116.6666667,102,145,5,8.529411765,0,0,5,34
34,Cheteshwar Pujara,KKR,IND,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,20
35,Chris Gayle,KKR,WI,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,28
36,CK Kapugedera,CSK,SL,8,11,72.72727273,17,49,0,17.29411765,3,0,3,21
37,D  Mascarenhas,RR,ENG,9,8,112.5,24,29,2,7.25,0,0,1,30
38,D Kalyankrishna,DC,IND,3,8,37.5,48,87,2,10.875,1,0,3,24
39,D Thornely,MI,AUS,39,53,73.58490566,42,40,3,5.714285714,3,0,6,29
40,Dale Steyn,RCB,SA,2,5,40,228,252,10,6.631578947,4,0.5,10,24
41,Daniel Vettori,DD,NZ,0,0,#DIV/0!,48,54,2,6.75,0,0,2,29
42,Darren Lehmann,RR,AUS,18,18,100,0,0,0,#DIV/0!,0,0,2,38
43,David Hussey,KKR,AUS,319,259,123.1660232,78,130,2,10,5,0.5,13,30
44,Debabrata Das,KKR,IND,103,94,109.5744681,0,0,0,#DIV/0!,0,0.5,6,21
45,Devraj Patil,RCB,IND,13,13,100,0,0,0,#DIV/0!,2,0,2,23
46,Dhawal Kulkarni,MI,IND,2,16,12.5,177,236,11,8,2,1,10,19
47,Dilhara Fernando,MI,SL,2,1,200,120,160,10,8,2,0.5,5,28
48,Dinesh Karthik ,DD,IND,135,95,142.1052632,0,0,0,#DIV/0!,6,2.5,12,23
49,Dinesh Salunkhe,RR,IND,33,24,137.5,48,78,1,9.75,2,0,6,24
50,DR Smith,MI,WI,45,24,187.5,66,83,5,7.545454545,2,0,4,25
51,Dwaraka Ravi Teja,DC,IND,109,83,131.3253012,12,19,1,9.5,2,0,7,20
52,Dwayne Bravo,MI,WI,178,134,132.8358209,170,232,11,8.188235294,4,0.5,9,24
53,Farveez Maharoof,DD,SL,119,73,163.0136986,192,215,12,6.71875,2,1,9,23
54,Gagandeep Singh,KXI,IND,0,0,#DIV/0!,84,141,3,10.07142857,0,0,4,26
55,Gaurav Dhiman,MI,IND,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,21
56,Gautam Gambhir,DD,IND,523,364,143.6813187,0,0,0,#DIV/0!,2,0,13,26
57,Glenn McGrath,DD,AUS,0,2,0,300,319,12,6.38,2,0,13,38
58,Graeme Smith,RR,SA,416,341,121.9941349,0,0,0,#DIV/0!,2,0,10,27
59,H Gibbs,DC,SA,167,153,109.1503268,0,0,0,#DIV/0!,5,1,9,34
60,Halhadar Das,DC,IND,2,5,40,0,0,0,#DIV/0!,0,0,1,21
61,Harbhajan Singh,MI,IND,30,17,176.4705882,60,82,5,8.2,2,1.5,3,28
62,Iqbal Abdulla,KKR,IND,1,2,50,18,22,0,7.333333333,0,0,1,18
63,Irfan Pathan,KXI,IND,128,104,123.0769231,294,327,14,6.673469388,4,2,13,23
64,Ishant Sharma,KKR,IND,11,11,100,253,329,7,7.802371542,2,0,13,19
65,J Arunkumar,RCB,IND,23,23,100,0,0,0,#DIV/0!,0,0,3,33
66,Jacob Oram,CSK,NZ,18,12,150,96,149,3,9.3125,3,0.5,4,29
67,Jacques Kallis,RCB,SA,199,183,108.7431694,206,311,4,9.058252427,3,0,11,32
68,James Hopes,KXI,AUS,219,143,153.1468531,156,256,7,9.846153846,3,0,10,29
69,Jaydev Shah,RR,IND,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,25
70,Joginder Sharma,CSK,IND,16,11,145.4545455,148,239,8,9.689189189,4,0.5,8,24
71,Justin Langer,RR,AUS,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,37
72,K Sangakkara,KXI,SL,317,194,163.4020619,0,0,0,#DIV/0!,4,1,9,30
73,Kamran Akmal ,RR,PAK,122,71,171.8309859,0,0,0,#DIV/0!,7,0.5,5,26
74,Karan Goel,KXI,IND,76,78,97.43589744,12,25,0,12.5,2,0,7,21
75,KP Appanna,RCB,IND,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,19
76,Kyle Mills,KXI,NZ,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,29
77,L Balaji,CSK,IND,0,4,0,150,217,11,8.68,1,0,7,26
78,Lasith Malinga,MI,SL,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,24
79,Laxmi Shukla,KKR,IND,163,122,133.6065574,72,124,6,10.33333333,2,0.5,13,27
80,Loots Bosman,MI,SA,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,31
81,Luke Pomersbach,KXI,AUS,152,99,153.5353535,0,0,0,#DIV/0!,1,0,5,23
82,Luke Ronchi,MI,AUS,34,32,106.25,0,0,0,#DIV/0!,3,1,4,27
83,M Jayawardene ,KXI,SL,171,121,141.322314,0,0,0,#DIV/0!,3,1,12,31
84,M Muralitharan,CSK,SL,0,3,0,300,346,8,6.92,3,0,13,36
85,Mahesh Rawat,RR,IND,32,35,91.42857143,0,0,0,#DIV/0!,8,3,10,22
86,Makhaya Ntini,CSK,SA,11,18,61.11111111,162,198,5,7.333333333,1,0,7,31
87,Manish Pandey,MI,IND,3,9,33.33333333,0,0,0,#DIV/0!,0,1,3,18
88,Manoj Tiwary,DD,IND,104,82,126.8292683,0,0,0,#DIV/0!,2,0.5,8,22
89,Manpreet Gony,CSK,IND,35,19,184.2105263,312,399,14,7.673076923,2,0.5,14,24
90,Mark Boucher ,RCB,SA,225,177,127.1186441,0,0,0,#DIV/0!,4,1,10,31
91,Matthew Hayden,CSK,AUS,189,131,144.2748092,0,0,0,#DIV/0!,0,0,4,36
92,Mayank Tehlan,DD,IND,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,21
93,Michael Hussey,CSK,AUS,168,100,168,0,0,0,#DIV/0!,2,0,4,32
94,Misbah-ul-Haq,RCB,PAK,117,81,144.4444444,0,0,0,#DIV/0!,1,0,8,33
95,Mithun Manhas,DD,IND,0,0,#DIV/0!,0,0,0,#DIV/0!,1,0.5,1,28
96,Mohd Asif,DD,PAK,0,1,0,168,264,7,9.428571429,0,0,7,25
97,Mohd Hafeez,KKR,PAK,64,83,77.10843373,60,68,2,6.8,1,0.5,8,27
98,Mohd Kaif,RR,IND,152,151,100.6622517,0,0,0,#DIV/0!,7,1,14,27
99,Morne Morkel,RR,SA,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,23
100,MS Dhoni,CSK,IND,385,293,131.3993174,0,0,0,#DIV/0!,5,2,14,26
101,Munaf Patel,RR,IND,0,1,0,294,389,11,7.93877551,2,1,13,25
102,Murali Kartik,KKR,IND,30,27,111.1111111,88,127,3,8.659090909,4,1,6,31
103,Musavir Khote,MI,IND,24,22,109.0909091,30,51,2,10.2,0,0,4,28
104,Napoleon Einstein,CSK,IND,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,18
105,Nathan Bracken,RCB,AUS,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,30
106,Niraj Patel,RR,IND,101,70,144.2857143,0,0,0,#DIV/0!,2,0,4,27
107,Nitin Saini,KXI,IND,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,19
108,Nuwan Zoysa,DC,SL,11,9,122.2222222,66,99,2,9,1,0,3,30
109,P Sangwan,DD,IND,2,5,40,144,215,5,8.958333333,1,1,7,17
110,P Vijaykumar,DC,IND,1,1,100,152,199,4,7.855263158,0,0,9,21
111,Palani Amarnath,CSK,IND,0,0,#DIV/0!,132,236,7,10.72727273,2,0,6,25
112,Pankaj Dharmani,KXI,IND,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,1,33
113,Pankaj Singh,RR,IND,5,8,62.5,72,129,0,10.75,1,0,5,23
114,Parag More,RR,IND,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,23
115,Parthiv Patel ,CSK,IND,213,216,98.61111111,0,0,0,#DIV/0!,3,1.5,11,23
116,Pinal Shah ,MI,IND,34,35,97.14285714,0,0,0,#DIV/0!,4,0,5,20
117,Piyush Chawla,KXI,IND,78,44,177.2727273,245,366,17,8.963265306,6,1,14,19
118,PM Sarvesh Kumar,DC,IND,1,2,50,30,42,1,8.4,0,0,2,19
119,Pragyan Ojha,DC,IND,2,4,50,222,284,11,7.675675676,3,0,13,21
120,Prasanta Saha,KKR,IND,159,119,133.6134454,0,0,0,#DIV/0!,10,3,12,23
121,Praveen Kumar,RCB,IND,112,98,114.2857143,268,366,11,8.194029851,4,0,13,21
122,R Ashwin,CSK,IND,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,21
123,R Sarwan,KXI,WI,73,75,97.33333333,0,0,0,#DIV/0!,1,0,4,28
124,Rahul Dravid,RCB,IND,371,298,124.4966443,0,0,0,#DIV/0!,2,0.5,14,35
125,Rajat Bhatia,DD,IND,34,28,121.4285714,132,183,6,8.318181818,1,1,9,28
126,Rajesh Pawar,MI,IND,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,1,28
127,Ramesh Powar,KXI,IND,0,0,#DIV/0!,54,63,3,7,2,0,4,30
128,Ranadeb Bose,KKR,IND,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,29
129,Ravindra Jadeja,RR,IND,128,97,131.9587629,12,21,0,10.5,5,2,12,19
130,Ricky Ponting,KKR,AUS,39,53,73.58490566,0,0,0,#DIV/0!,2,0,4,33
131,Rishi Dhawan,KXI,IND,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,18
132,Robin Uthappa,MI,IND,320,279,114.6953405,0,0,0,#DIV/0!,9,0.5,14,22
133,Rohan Banerjee,KKR,IND,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,19
134,Rohan Raje,MI,IND,8,9,88.88888889,98,277,5,16.95918367,1,0.5,6,21
135,Rohit Sharma,DC,IND,404,273,147.985348,24,25,1,6.25,8,0,13,20
136,Ross Taylor,RCB,NZ,149,81,183.9506173,0,0,0,#DIV/0!,0,0,4,24
137,RP Singh,DC,IND,27,24,112.5,308,442,15,8.61038961,5,0.5,14,22
138,S Anirudha,CSK,IND,1,7,14.28571429,0,0,0,#DIV/0!,0,0,1,21
139,S Badrinath,CSK,IND,186,128,145.3125,0,0,0,#DIV/0!,5,1.5,14,27
140,S Chanderpaul,RCB,WI,25,31,80.64516129,0,0,0,#DIV/0!,0,0,3,33
141,S Jayasuriya,MI,SL,514,309,166.3430421,126,159,4,7.571428571,2,2,14,39
142,S Sreesanth,KXI,IND,0,1,0,307,435,19,8.501628664,2,0,14,25
143,S Vidyut ,CSK,IND,123,88,139.7727273,12,22,1,11,1,0,7,26
144,Sachin Tendulkar,MI,IND,188,176,106.8181818,0,0,0,#DIV/0!,6,0,7,35
145,Sahil Kukreja,KXI,IND,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,23
146,Salman Butt,KKR,PAK,193,161,119.8757764,0,0,0,#DIV/0!,2,0,7,23
147,Sanjay Bangar,DC,IND,47,49,95.91836735,150,219,4,8.76,2,1.5,11,35
148,Saurabh Tiwary,MI,IND,26,20,130,0,0,0,#DIV/0!,1,0,3,18
149,Saurasish Lahiri,KKR,IND,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,26
150,Scott Styris,DC,NZ,112,123,91.05691057,162,202,3,7.481481481,1,0.5,8,32
151,Shadab Jakati,CSK,IND,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,27
152,Shahid Afridi,DC,PAK,81,46,176.0869565,180,225,9,7.5,4,0,10,28
153,Shane Warne,RR,AUS,61,49,124.4897959,264,349,17,7.931818182,6,1,13,38
154,Shane Watson,RR,AUS,392,263,149.0494297,283,344,13,7.293286219,2,1,13,27
155,Shaun Marsh,KXI,AUS,593,424,139.8584906,0,0,0,#DIV/0!,3,1,10,25
156,Shaun Pollock,MI,SA,147,111,132.4324324,268,301,11,6.73880597,2,0.5,13,34
157,Shikhar Dhawan,DD,IND,335,283,118.3745583,0,0,0,#DIV/0!,7,0.5,13,22
158,Shoaib Akhtar,KKR,PAK,2,7,28.57142857,42,54,5,7.714285714,0,0,3,32
159,Shoaib Malik,DD,PAK,52,47,110.6382979,51,85,2,10,7,0,7,26
160,Shreevats Goswami ,RCB,IND,82,85,96.47058824,0,0,0,#DIV/0!,4,2,4,18
161,Siddarth Kaul,KKR,IND,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,17
162,Siddharth Chitnis,MI,IND,18,10,180,36,60,2,10,1,0,3,21
163,Siddharth Trivedi,RR,IND,4,10,40,258,358,12,8.325581395,3,0,13,25
164,Simon Katich,KXI,AUS,96,69,139.1304348,0,0,0,#DIV/0!,0,0,2,32
165,Sohail Tanvir,RR,PAK,22,17,129.4117647,211,210,21,5.971563981,2,1,9,23
166,Sourav Ganguly,KKR,IND,349,307,113.6807818,120,128,6,6.4,5,0,13,36
167,Stephen Fleming,CSK,NZ,196,165,118.7878788,0,0,0,#DIV/0!,2,1,10,35
168,Sudeep Tyagi,CSK,IND,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,20
169,Sumit Khatri,RR,IND,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,18
170,Sunil Joshi,RCB,IND,6,14,42.85714286,55,82,1,8.945454545,0,0,4,37
171,Sunny Sohal,KXI,IND,4,8,50,0,0,0,#DIV/0!,0,0,2,20
172,Suresh Kumar,CSK,IND,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,23
173,Suresh Raina,CSK,IND,323,231,139.8268398,20,30,1,9,8,0.5,14,21
174,Swapnil Asnodkar,RR,IND,244,192,127.0833333,0,0,0,#DIV/0!,3,0,7,24
175,Swapnil Singh,MI,IND,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,17
176,T Srivastava,KXI,IND,8,10,80,0,0,0,#DIV/0!,2,1.5,5,18
177,Taruwar Kohli,RR,IND,10,15,66.66666667,0,0,0,#DIV/0!,3,0,2,19
178,Tatenda Taibu ,KKR,ZIM,31,26,119.2307692,0,0,0,#DIV/0!,1,0,3,25
179,Tejashwi Yadav,DD,IND,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,18
180,Tillakaratne Dilshan,DD,SL,71,57,124.5614035,6,3,1,3,5,0.5,6,31
181,Uday Kaul,KXI,IND,0,1,0,0,0,0,#DIV/0!,2,1.5,5,20
182,Umar Gul,KKR,PAK,39,19,205.2631579,135,184,12,8.177777778,0,0.5,6,24
183,V Sehwag,DD,IND,403,215,187.4418605,66,133,3,12.09090909,2,2.5,13,29
184,Venugopal Rao,DC,IND,288,210,137.1428571,84,137,2,9.785714286,0,0,11,26
185,Vikram Singh,KXI,IND,4,3,133.3333333,276,406,11,8.826086957,1,0,12,23
186,Vikrant Yeligati,MI,IND,2,2,100,30,59,0,11.8,0,0,2,23
