Sl. No,Player,Team,From,Runs,Balls,Strike Rate,Wickets,Balls Bowled,Runs Conceded,Economy,Ct_St,Run Outs,Matches Played,Age
1,A Flintoff ,CSK,ENG,62,53,116.9811321,2,66,105,9.545454545,4,0,3,31
2,A Mithun ,RCB,IND,0,0,#DIV/0!,0,24,42,10.5,0,0,1,19
3,A Mukund ,CSK,IND,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,19
4,A S Rauit,RR,IND,78,61,127.8688525,0,24,36,9,3,0,9,22
5,A Symonds ,DC,AUS,249,166,150,7,144,160,6.666666667,1,0,8,34
6,Aakash Chopra ,KKR,IND,11,19,57.89473684,0,0,0,#DIV/0!,0,0.5,2,31
7,Aavishkar Salvi ,DD,IND,0,0,#DIV/0!,4,102,134,7.882352941,1,0,5,27
8,AB de Villiers ,DD,SA,512,392,130.6122449,0,0,0,#DIV/0!,13,1.5,15,25
9,Abhinav Kumar ,DC,IND,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,24
10,Abhisek Banerjee ,KKR,IND,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,25
11,Abhishek Nayar ,MI,IND,193,152,126.9736842,4,72,84,7,4,0,13,25
12,Adam Gilchrist ,DC,AUS,495,325,152.3076923,0,0,0,#DIV/0!,18,6.5,16,37
13,Aditya Angle ,RR,IND,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,25
14,Aditya Dole ,KKR,IND,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,21
15,Ajantha Mendis ,KKR,SL,0,1,0,3,96,117,7.3125,2,0,4,24
16,Ajinkya Rahane ,MI,IND,144,123,117.0731707,1,6,5,5,1,0,8,20
17,Ajit Agarkar ,KKR,IND,66,57,115.7894737,6,186,284,9.161290323,0,0.5,11,31
18,Ajitesh Argal ,KXI,IND,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,20
19,Albie Morkel ,CSK,SA,97,70,138.5714286,13,240,328,8.2,1,1,12,27
20,Ameya Shrikhande ,KKR,IND,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,22
21,Amit Mishra ,DD,IND,26,20,130,14,252,294,7,2,1,11,26
22,Amit Singh ,RR,IND,1,3,33.33333333,9,105,95,5.428571429,0,0,5,27
23,Andrew McDonald ,DD,AUS,3,4,75,0,18,22,7.333333333,0,0,1,27
24,Angelo Mathews ,KKR,SL,16,13,123.0769231,0,14,31,13.28571429,1,0,1,22
25,Anil Kumble ,RCB,IND,16,19,84.21052632,21,355,347,5.864788732,4,0,16,38
26,Anup Revandkar ,RR,IND,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,21
27,Anureet Singh ,KKR,IND,0,0,#DIV/0!,2,30,47,9.4,0,0,3,21
28,Anustup Majumdar ,KKR,IND,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,25
29,Arindam Ghosh ,KKR,IND,7,8,87.5,0,0,0,#DIV/0!,1,0,2,22
30,Arjun Yadav ,DC,IND,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,27
31,Arun Karthik ,CSK,IND,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,23
32,Ashish Nehra ,DD,IND,1,1,100,19,306,346,6.784313725,3,1,12,30
33,Ashok Dinda ,KKR,IND,2,3,66.66666667,4,144,193,8.041666667,1,1,9,25
34,Ashraf Makda ,RR,IND,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,30
35,Atul Sharma ,RR,IND,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,37
36,Avik Chowdhury ,KKR,IND,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,24
37,Azhar Bilakhia ,DC,IND,67,81,82.71604938,0,0,0,#DIV/0!,0,0,6,23
38,B Akhil ,RCB,IND,17,15,113.3333333,4,66,80,7.272727273,0,0.5,6,31
39,B Kumar ,RCB,IND,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,18
40,B McCullum  ,KKR,NZ,285,239,119.2468619,0,0,0,#DIV/0!,6,1.5,12,27
41,Bharat Chipli ,RCB,IND,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,26
42,Bhavik Thaker ,KKR,IND,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,26
43,Brad Hodge ,KKR,AUS,365,310,117.7419355,7,120,161,8.05,2,1.5,12,34
44,Brett Lee ,KXI,AUS,28,34,82.35294118,5,120,111,5.55,1,0.5,5,32
45,Burt Cockley ,KXI,AUS,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,23
46,C Suryavanshi ,KKR,IND,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,24
47,Cameron White ,RCB,AUS,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,25
48,Chamara Silva ,DC,SL,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,29
49,Chaminda Vaas ,DC,SL,30,21,142.8571429,4,48,71,8.875,0,0,2,35
50,Charl Langeveldt ,KKR,SA,0,0,#DIV/0!,3,24,15,3.75,0,0,1,34
51,Chetanya Nanda ,MI,IND,0,1,0,2,48,57,7.125,0,0,3,30
52,Cheteshwar Pujara ,KKR,IND,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,21
53,Chris Gayle ,KKR,WI,171,143,119.5804196,1,113,144,7.646017699,5,0,7,29
54,D Kalyankrishna ,DC,IND,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,25
55,D Mascarenhas ,RR,ENG,39,39,100,6,116,132,6.827586207,1,0,5,31
56,D Ravi Teja ,DC,IND,65,70,92.85714286,0,0,0,#DIV/0!,4,1.5,9,21
57,Dale Steyn ,RCB,SA,0,3,0,2,54,62,6.888888889,1,0,3,25
58,Daniel Vettori ,DD,NZ,34,32,106.25,7,139,181,7.81294964,3,1.5,7,30
59,David Hussey ,KKR,AUS,98,59,166.1016949,0,24,34,8.5,1,1,4,31
60,David Warner ,DD,AUS,163,132,123.4848485,0,0,0,#DIV/0!,5,2.5,7,22
61,Debabrata Das ,KKR,IND,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,22
62,Devraj Patil ,RCB,IND,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,24
63,Dhawal Kulkarni ,MI,IND,9,17,52.94117647,5,156,206,7.923076923,1,0,8,20
64,Dhiran Salvi ,KKR,IND,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,29
65,Dilhara Fernando ,MI,SL,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,29
66,Dillon du Preez ,RCB,SA,10,13,76.92307692,4,42,56,8,0,0,2,27
