Sl no,Player Name,Team,From,Runs,Balls,Four,Six,Highest Run Scored,Strike Rate,Balls Bowled,Runs Conceded,Economy,Wickets,ct_st,Run Outs,Matches Played,Age
1,A Ahmed,MI,,4,7,0,0,4,57.14285714,12,26,13,0,0,0,1,
2,A Uniyal,RR,IND,4,7,0,0,4,57.14285714,36,66,11,2,0,1,3,28
3,Aavishkar Salvi,DD,IND,0,0,0,0,0,#DIV/0!,0,0,#DIV/0!,0,0,0,0,28
4,AB de Villiers,DD,SA,111,119,7,0,45,93.27731092,0,0,#DIV/0!,0,6,2,7,26
5,Abhimanyu Mithun,RCB,IND,5,4,1,0,5,125,18,39,13,1,0,0,1,20
6,Abhishek Jhunjhunwala,RR,IND,183,166,16,4,53,110.2409639,37,69,11.18918919,0,3,2.8,13,27
7,Abhishek Nayar,MI,IND,58,51,4,2,27,113.7254902,0,0,#DIV/0!,0,1,0.5,3,26
8,Abhishek Raut,RR,IND,56,48,3,3,32,116.6666667,0,0,#DIV/0!,0,3,1,6,23
9,AC Voges,RR,AUS,181,143,15,3,45,126.5734266,54,76,8.444444444,0,1,1.5,9,30
10,Adam Gilchrist,DC,AUS,289,185,31,16,54,156.2162162,0,0,#DIV/0!,0,13,2.5,16,38
11,Aditya Tare ,MI,IND,50,36,5,3,23,138.8888889,0,0,#DIV/0!,0,3,0,7,22
12,Adrian Barath,KXI,IND,42,42,5,1,33,100,0,0,#DIV/0!,0,0,0,3,20
13,Ajantha Mendis,KKR,SL,1,1,0,0,1,100,48,68,8.5,2,0,0,2,25
14,Ajit Agarkar,KKR,IND,40,29,4,0,17,137.9310345,132,203,9.227272727,4,1,0,7,32
15,Albie Morkel,CSK,SA,198,131,10,13,62,151.1450382,286,405,8.496503497,11,3,1.9,14,28
16,Amanpreet Singh,KXI,IND,0,0,0,0,0,#DIV/0!,0,0,#DIV/0!,0,0,0,0,20
17,Ambati Rayudu,MI,IND,356,246,34,13,55,144.7154472,0,0,#DIV/0!,0,7,3.5,14,24
18,Amit Mishra,DD,IND,39,51,1,0,12,76.47058824,318,363,6.849056604,17,4,2.5,14,27
19,Amit Paunikar ,RR,IND,0,1,0,0,0,0,0,0,#DIV/0!,0,0,0,1,22
20,Amit Singh,RR,IND,0,0,0,0,0,#DIV/0!,0,0,#DIV/0!,0,0,0,0,29
21,Andrew McDonald,DD,AUS,65,52,3,2,33,125,84,138,9.857142857,5,0,0,4,28
22,Andrew Symonds,DC,AUS,429,341,35,18,54,125.8064516,318,372,7.018867925,12,12,0,16,35
23,Angelo Mathews,KKR,SL,233,184,18,8,65,126.6304348,225,314,8.373333333,8,3,0.5,14,23
24,Anil Kumble ,RCB,IND,6,11,0,0,2,54.54545455,380,407,6.426315789,17,3,0,16,39
25,Anirudh Singh,DC,IND,63,66,6,1,40,95.45454545,0,0,#DIV/0!,0,3,0,5,29
26,Arjun Yadav,DC,IND,0,0,0,0,0,#DIV/0!,0,0,#DIV/0!,0,0,0,0,28
27,Arun Karthik,CSK,IND,3,5,0,0,3,60,0,0,#DIV/0!,0,0,0,1,24
28,Ashish Nehra,DD,IND,23,20,2,1,22,115,84,96,6.857142857,6,2,0,4,31
29,Ashish Reddy,DC,IND,0,0,0,0,0,#DIV/0!,0,0,#DIV/0!,0,0,0,0,19
30,Ashok Dinda,KKR,IND,0,1,0,0,0,0,139,152,6.561151079,9,0,1,7,26
31,Azhar Bilakhia,DC,IND,2,4,0,0,2,50,0,0,#DIV/0!,0,1,0,1,24
32,Balachandra Akhil,RCB,IND,0,0,0,0,0,#DIV/0!,6,6,6,0,0,0,1,32
33,Bhuvneshwar Kumar,RCB,IND,0,0,0,0,0,#DIV/0!,0,0,#DIV/0!,0,0,0,0,19
34,Bipul Sharma,KXI,IND,9,7,1,0,8,128.5714286,60,94,9.4,3,2,1,5,26
35,Bodapati Sumanth,DC,IND,29,34,2,0,16,85.29411765,0,0,#DIV/0!,0,4,0,5,21
36,Brad Hodge,KKR,AUS,99,90,11,1,50,110,30,41,8.2,2,3,0,4,35
37,Brendon McCullum ,KKR,NZ,114,110,14,2,57,103.6363636,0,0,#DIV/0!,0,2,0.5,5,28
38,Brett Lee,KXI,AUS,11,9,1,0,7,122.2222222,87,149,10.27586207,0,2,0,4,33
39,Cameron White,RCB,AUS,48,33,3,3,21,145.4545455,6,19,19,0,4,0,7,26
40,Chaminda Vaas,DC,SL,30,34,1,1,16,88.23529412,132,139,6.318181818,9,0,1,6,36
41,Chandan Madan,MI,IND,15,19,3,0,15,78.94736842,0,0,#DIV/0!,0,0,0.5,1,27
42,Chandrasekar Ganapathy,CSK,IND,0,0,0,0,0,#DIV/0!,6,13,13,0,0,0,1,29
43,Charl Langeveldt,KKR,SA,0,1,0,0,0,0,66,88,8,5,0,0,3,35
44,Cheteshwar Pujara,KKR,IND,122,115,14,3,45,106.0869565,0,0,#DIV/0!,0,2,0,10,22
45,Chris Gayle,KKR,WI,292,184,30,16,88,158.6956522,96,152,9.5,4,2,0,9,30
46,D Vettori,DD,NZ,33,27,4,0,19,122.2222222,70,97,8.314285714,2,0,0.5,3,31
47,Dale Steyn,RCB,SA,13,17,2,0,8,76.47058824,354,406,6.881355932,15,1,1.5,15,26
48,Damien Martyn,RR,AUS,19,24,1,0,19,79.16666667,0,0,#DIV/0!,0,0,0,1,38
49,David Hussey,KKR,AUS,94,86,5,5,31,109.3023256,60,80,8,0,4,0,6,32
50,David Warner,DD,AUS,282,191,27,14,107,147.6439791,0,0,#DIV/0!,0,8,1,11,23
51,DE Bollinger,CSK,AUS,18,16,1,1,16,112.5,186,207,6.677419355,12,2,0,7,28
52,Dhawal Kulkarni,MI,IND,0,0,0,0,0,#DIV/0!,24,40,10,1,0,0,1,21
53,Dilhara Fernando,MI,SL,2,2,0,0,2,100,114,138,7.263157895,7,1,0,5,30
54,Dillon du Preez,RCB,SA,0,0,0,0,0,#DIV/0!,0,0,#DIV/0!,0,0,0,0,28
55,Dimitri Mascarenhas,RR,ENG,12,10,0,0,9,120,48,65,8.125,4,0,0,2,32
56,Dinesh Karthik ,DD,IND,278,237,26,6,69,117.2995781,0,0,#DIV/0!,0,12,4.5,14,24
