Sl No,Player Name,Team,From,Runs,Balls ,Strike Rate,Four,Six,Highest Runs Scored,Balls Bowled,Runs Conceded,Wicket,Economy,ct_st,Run Outs,Matches Played,Age
1,A Ahmed,MI,,4,7,57.14285714,0,0,4,12,26,0,13,0,0,1,
2,A Uniyal,RR,IND,4,7,57.14285714,0,0,4,36,66,2,11,0,1,3,28
3,Aavishkar Salvi,DD,IND,0,0,#DIV/0!,0,0,0,0,0,0,#DIV/0!,0,0,0,28
4,AB de Villiers,DD,SA,111,119,93.27731092,7,0,45,0,0,0,#DIV/0!,6,2,7,26
5,Abhimanyu Mithun,RCB,IND,5,4,125,1,0,5,18,39,1,13,0,0,1,20
6,Abhishek Jhunjhunwala,RR,IND,183,166,110.2409639,16,4,53,37,69,0,11.18918919,3,2.8,13,27
7,Abhishek Nayar,MI,IND,58,51,113.7254902,4,2,27,0,0,0,#DIV/0!,1,0.5,3,26
8,Abhishek Raut,RR,IND,56,48,116.6666667,3,3,32,0,0,0,#DIV/0!,3,1,6,23
9,AC Voges,RR,AUS,181,143,126.5734266,15,3,45,54,76,0,8.444444444,1,1.5,9,30
10,Adam Gilchrist,DC,AUS,289,185,156.2162162,31,16,54,0,0,0,#DIV/0!,13,2.5,16,38
11,Aditya Tare ,MI,IND,50,36,138.8888889,5,3,23,0,0,0,#DIV/0!,3,0,7,22
12,Adrian Barath,KXI,IND,42,42,100,5,1,33,0,0,0,#DIV/0!,0,0,3,20
13,Ajantha Mendis,KKR,SL,1,1,100,0,0,1,48,68,2,8.5,0,0,2,25
14,Ajit Agarkar,KKR,IND,40,29,137.9310345,4,0,17,132,203,4,9.227272727,1,0,7,32
15,Albie Morkel,CSK,SA,198,131,151.1450382,10,13,62,286,405,11,8.496503497,3,1.9,14,28
16,Amanpreet Singh,KXI,IND,0,0,#DIV/0!,0,0,0,0,0,0,#DIV/0!,0,0,0,20
17,Ambati Rayudu,MI,IND,356,246,144.7154472,34,13,55,0,0,0,#DIV/0!,7,3.5,14,24
18,Amit Mishra,DD,IND,39,51,76.47058824,1,0,12,318,363,17,6.849056604,4,2.5,14,27
19,Amit Paunikar ,RR,IND,0,1,0,0,0,0,0,0,0,#DIV/0!,0,0,1,22
20,Amit Singh,RR,IND,0,0,#DIV/0!,0,0,0,0,0,0,#DIV/0!,0,0,0,29
21,Andrew McDonald,DD,AUS,65,52,125,3,2,33,84,138,5,9.857142857,0,0,4,28
22,Andrew Symonds,DC,AUS,429,341,125.8064516,35,18,54,318,372,12,7.018867925,12,0,16,35
23,Angelo Mathews,KKR,SL,233,184,126.6304348,18,8,65,225,314,8,8.373333333,3,0.5,14,23
24,Anil Kumble ,RCB,IND,6,11,54.54545455,0,0,2,380,407,17,6.426315789,3,0,16,39
25,Anirudh Singh,DC,IND,63,66,95.45454545,6,1,40,0,0,0,#DIV/0!,3,0,5,29
26,Arjun Yadav,DC,IND,0,0,#DIV/0!,0,0,0,0,0,0,#DIV/0!,0,0,0,28
27,Arun Karthik,CSK,IND,3,5,60,0,0,3,0,0,0,#DIV/0!,0,0,1,24
28,Ashish Nehra,DD,IND,23,20,115,2,1,22,84,96,6,6.857142857,2,0,4,31
29,Ashish Reddy,DC,IND,0,0,#DIV/0!,0,0,0,0,0,0,#DIV/0!,0,0,0,19
30,Ashok Dinda,KKR,IND,0,1,0,0,0,0,139,152,9,6.561151079,0,1,7,26
31,Azhar Bilakhia,DC,IND,2,4,50,0,0,2,0,0,0,#DIV/0!,1,0,1,24
32,Balachandra Akhil,RCB,IND,0,0,#DIV/0!,0,0,0,6,6,0,6,0,0,1,32
33,Bhuvneshwar Kumar,RCB,IND,0,0,#DIV/0!,0,0,0,0,0,0,#DIV/0!,0,0,0,19
34,Bipul Sharma,KXI,IND,9,7,128.5714286,1,0,8,60,94,3,9.4,2,1,5,26
35,Bodapati Sumanth,DC,IND,29,34,85.29411765,2,0,16,0,0,0,#DIV/0!,4,0,5,21
36,Brad Hodge,KKR,AUS,99,90,110,11,1,50,30,41,2,8.2,3,0,4,35
37,Brendon McCullum ,KKR,NZ,114,110,103.6363636,14,2,57,0,0,0,#DIV/0!,2,0.5,5,28
38,Brett Lee,KXI,AUS,11,9,122.2222222,1,0,7,87,149,0,10.27586207,2,0,4,33
39,Cameron White,RCB,AUS,48,33,145.4545455,3,3,21,6,19,0,19,4,0,7,26
40,Chaminda Vaas,DC,SL,30,34,88.23529412,1,1,16,132,139,9,6.318181818,0,1,6,36
41,Chandan Madan,MI,IND,15,19,78.94736842,3,0,15,0,0,0,#DIV/0!,0,0.5,1,27
42,Chandrasekar Ganapathy,CSK,IND,0,0,#DIV/0!,0,0,0,6,13,0,13,0,0,1,29
43,Charl Langeveldt,KKR,SA,0,1,0,0,0,0,66,88,5,8,0,0,3,35
44,Cheteshwar Pujara,KKR,IND,122,115,106.0869565,14,3,45,0,0,0,#DIV/0!,2,0,10,22
45,Chris Gayle,KKR,WI,292,184,158.6956522,30,16,88,96,152,4,9.5,2,0,9,30
46,D Vettori,DD,NZ,33,27,122.2222222,4,0,19,70,97,2,8.314285714,0,0.5,3,31
47,Dale Steyn,RCB,SA,13,17,76.47058824,2,0,8,354,406,15,6.881355932,1,1.5,15,26
48,Damien Martyn,RR,AUS,19,24,79.16666667,1,0,19,0,0,0,#DIV/0!,0,0,1,38
49,David Hussey,KKR,AUS,94,86,109.3023256,5,5,31,60,80,0,8,4,0,6,32
50,David Warner,DD,AUS,282,191,147.6439791,27,14,107,0,0,0,#DIV/0!,8,1,11,23
51,DE Bollinger,CSK,AUS,18,16,112.5,1,1,16,186,207,12,6.677419355,2,0,7,28
52,Dhawal Kulkarni,MI,IND,0,0,#DIV/0!,0,0,0,24,40,1,10,0,0,1,21
53,Dilhara Fernando,MI,SL,2,2,100,0,0,2,114,138,7,7.263157895,1,0,5,30
54,Dillon du Preez,RCB,SA,0,0,#DIV/0!,0,0,0,0,0,0,#DIV/0!,0,0,0,28
55,Dimitri Mascarenhas,RR,ENG,12,10,120,0,0,9,48,65,4,8.125,0,0,2,32
56,Dinesh Karthik ,DD,IND,278,237,117.2995781,26,6,69,0,0,0,#DIV/0!,12,4.5,14,24
57,Dirk Nannes,DD,AUS,4,13,30.76923077,0,0,3,205,224,7,6.556097561,0,0.5,9,34
58,Dwaraka Ravi Teja,DC,IND,0,0,#DIV/0!,0,0,0,0,0,0,#DIV/0!,0,0,0,22
59,Dwayne Bravo,MI,WI,64,53,120.754717,4,4,23,157,228,4,8.713375796,4,1,10,26
60,Dwayne Smith,DC,WI,22,25,88,1,1,13,23,36,1,9.391304348,0,0,3,27
61,Eoin Morgan,RCB,ENG,35,30,116.6666667,2,1,17,0,0,0,#DIV/0!,4,1,6,23
62,Faiz Fazal,RR,IND,164,154,106.4935065,19,1,45,12,20,0,10,8,0.3,10,24
63,Farveez Maharoof,DD,SL,31,23,134.7826087,2,2,28,144,206,8,8.583333333,1,0,7,25
64,Ganapathi Vignesh,KKR,IND,0,0,#DIV/0!,0,0,0,0,0,0,#DIV/0!,0,0,0,28
65,Gautam Gambhir ,DD,IND,277,217,127.6497696,32,2,72,0,0,0,#DIV/0!,3,0.5,11,28
66,George Bailey,CSK,AUS,18,27,66.66666667,2,0,18,0,0,0,#DIV/0!,1,0,1,27
67,Graeme Smith,RR,SA,44,39,112.8205128,7,0,26,0,0,0,#DIV/0!,2,0,2,29
68,Graham Napier,MI,AUS,0,0,#DIV/0!,0,0,0,0,0,0,#DIV/0!,0,0,0,30
69,Harbhajan Singh,MI,IND,105,63,166.6666667,12,5,49,321,377,17,7.046728972,6,0.5,15,29
70,Harmeet Singh,DC,IND,0,1,0,0,0,0,144,174,8,7.25,0,0.5,8,22
71,Harpreet Singh,KKR,IND,0,0,#DIV/0!,0,0,0,0,0,0,#DIV/0!,0,0,1,
72,Harshad Khadiwale,KKR,IND,0,0,#DIV/0!,0,0,0,0,0,0,#DIV/0!,0,0,0,21
73,Herschelle Gibbs,DC,SA,267,235,113.6170213,26,9,50,0,0,0,#DIV/0!,6,0,10,36
74,Iqbal Abdulla,KKR,IND,0,1,0,0,0,0,51,61,1,7.176470588,0,1,3,20
75,Irfan Pathan,KXI,IND,276,186,148.3870968,21,10,60,278,426,15,9.194244604,4,0.5,14,25
76,Ishan Malhotra,MI,IND,0,0,#DIV/0!,0,0,0,0,0,0,#DIV/0!,0,0,0,26
77,Ishant Sharma,KKR,IND,6,17,35.29411765,0,0,6,150,236,7,9.44,1,0,7,21
78,J Theron,KXI,SA,2,5,40,0,0,2,144,187,6,7.791666667,1,1.5,7,24
79,Jacob Oram,CSK,NZ,0,0,#DIV/0!,0,0,0,0,0,0,#DIV/0!,0,0,0,31
80,Jacques Kallis,RCB,SA,572,494,115.7894737,67,9,89,342,476,13,8.350877193,7,1,16,34
81,James Hopes,KXI,AUS,0,0,#DIV/0!,0,0,0,0,0,0,#DIV/0!,0,0,0,31
82,Jaskaran Singh,DC,IND,8,11,72.72727273,0,0,4,84,139,6,9.928571429,0,0,6,20
83,JD Unadkat,KKR,IND,0,0,#DIV/0!,0,0,0,62,85,4,8.225806452,1,0.5,3,
84,Jean-Paul Duminy,MI,SA,157,131,119.8473282,13,5,42,33,37,1,6.727272727,4,0,7,26
85,Jogindar Sharma,CSK,IND,0,0,#DIV/0!,0,0,0,48,89,2,11.125,1,0,3,26
86,Johan Botha,RR,SA,0,0,#DIV/0!,0,0,0,0,0,0,#DIV/0!,0,0,0,28
87,Justin Kemp,CSK,SA,26,24,108.3333333,1,1,22,44,54,3,7.363636364,1,0,5,32
88,Kamran Khan,RR,IND,0,0,#DIV/0!,0,0,0,36,53,3,8.833333333,0,0.5,3,19
89,Karan Goel,KXI,IND,18,20,90,1,1,17,6,7,0,7,2,0.5,6,23
90,Kedar Jadhav,DD,IND,76,56,135.7142857,7,2,50,0,0,0,#DIV/0!,0,0.5,5,25
91,Kemar Roach,DC,WI,10,9,111.1111111,1,0,10,48,80,0,10,1,0,2,21
92,Kevin Pietersen,RCB,ENG,236,157,150.3184713,23,8,66,60,77,3,7.7,3,0,7,29
93,Kieron Pollard,MI,WI,273,147,185.7142857,23,17,45,222,274,15,7.405405405,6,3.5,14,23
94,KP Appanna,RCB,IND,2,3,66.66666667,0,0,1,42,51,1,7.285714286,1,1,2,21
95,Kumar Sangakkara,KXI,SL,357,257,138.9105058,47,5,56,0,0,0,#DIV/0!,11,3,13,32
96,Lakshmipathy Balaji,CSK,IND,18,20,90,1,1,15,140,210,7,9,1,0,7,28
97,Lasith Malinga,MI,SL,1,1,100,0,0,1,294,344,15,7.020408163,2,1.5,13,26
98,Laxmi Shukla,KKR,IND,36,26,138.4615385,3,2,19,72,106,3,8.833333333,2,0,4,29
99,Love Ablish,KXI,IND,0,0,#DIV/0!,0,0,0,24,36,3,9,0,0,2,27
100,Mahela Jayawardene,KXI,SL,439,298,147.3154362,55,11,110,0,0,0,#DIV/0!,5,1.5,13,32
101,Makhaya Ntini,CSK,SA,0,0,#DIV/0!,0,0,0,0,0,0,#DIV/0!,0,0,0,32
102,Mandeep Singh,KKR,IND,4,11,36.36363636,0,0,4,0,0,0,#DIV/0!,0,0,3,
103,Manish Pandey,RCB,IND,249,226,110.1769912,27,7,42,0,0,0,#DIV/0!,6,0.5,13,20
104,Manoj Tiwary,KKR,IND,237,186,127.4193548,23,5,75,6,11,1,11,4,0,13,24
105,Manpreet Gony,CSK,IND,2,6,33.33333333,0,0,2,48,92,1,11.5,1,0,3,26
106,Manvinder Bisla ,KXI,IND,218,178,122.4719101,27,6,75,0,0,0,#DIV/0!,4,0,10,25
107,Mark Boucher ,RCB,SA,13,10,130,0,1,11,0,0,0,#DIV/0!,5,0.5,5,33
108,Matthew Hayden,CSK,AUS,346,279,124.0143369,37,16,93,0,0,0,#DIV/0!,6,1.5,16,38
109,MB Parmer,KKR,IND,0,0,#DIV/0!,0,0,0,18,33,0,11,0,0,1,22
110,Michael Hussey,CSK,AUS,37,44,84.09090909,2,0,15,0,0,0,#DIV/0!,0,0,3,34
111,Michael Lumb,RR,SA,278,192,144.7916667,45,6,83,0,0,0,#DIV/0!,4,0,11,30
112,Mitchell Marsh,DC,AUS,28,30,93.33333333,1,1,15,60,88,2,8.8,0,0.5,3,18
113,Mithun Manhas,DD,IND,157,149,105.3691275,14,0,32,0,0,0,#DIV/0!,5,2,9,30
114,Mohammad Kaif,KXI,IND,28,30,93.33333333,2,0,14,0,0,0,#DIV/0!,3,0,4,29
115,Moises Henriques,DD,AUS,11,5,220,2,0,11,24,35,1,8.75,1,0,1,23
116,Monish Mishra,DC,IND,166,144,115.2777778,18,6,41,0,0,0,#DIV/0!,1,0,11,26
117,Morne Morkel,RR,SA,9,16,56.25,1,0,7,42,66,0,9.428571429,1,0,2,25
118,MS Dhoni,CSK,IND,287,210,136.6666667,24,9,66,0,0,0,#DIV/0!,11,3.8,13,28
119,Munaf Patel,RR,IND,4,5,80,0,0,4,78,118,3,9.076923077,1,0,4,26
120,Murali Kartik,KKR,IND,22,4,550,2,0,21,234,253,9,6.487179487,5,0.5,10,33
121,Murali Vijay,CSK,IND,458,292,156.8493151,36,26,127,0,0,0,#DIV/0!,11,0.3,15,25
122,Murtaza Ali,MI,IND,0,0,#DIV/0!,0,0,0,72,91,3,7.583333333,1,0,3,20
123,Muttiah Muralitharan,CSK,SL,1,2,50,0,0,1,288,329,15,6.854166667,3,0,12,38
124,Naman Ojha ,RR,IND,377,285,132.2807018,42,15,94,0,0,0,#DIV/0!,6,2.4,14,26
125,Owais Shah,KKR,ENG,115,95,121.0526316,7,5,58,0,0,0,#DIV/0!,0,0,5,31
126,P Dogra,RR,IND,107,106,100.9433962,4,5,41,0,0,0,#DIV/0!,2,0,8,25
127,Parthiv Patel ,CSK,IND,72,79,91.13924051,6,2,57,0,0,0,#DIV/0!,2,0,4,25
128,Paul Collingwood,DD,IND,203,156,130.1282051,9,13,75,89,101,5,6.808988764,4,0,8,33
129,Piyush Chawla,KXI,IND,62,60,103.3333333,7,0,22,294,367,12,7.489795918,3,2,14,21
130,Pradeep Sangwan,DD,IND,10,14,71.42857143,0,0,6,186,258,9,8.322580645,1,0,8,19
131,Pragyan Ojha,DC,IND,3,8,37.5,0,0,2,353,429,21,7.291784703,4,0,16,23
132,Praveen Kumar,RCB,IND,4,8,50,0,0,3,270,380,10,8.444444444,1,0,12,23
133,Rahul Dravid,RCB,IND,256,199,128.6432161,34,3,52,0,0,0,#DIV/0!,4,1.5,16,37
134,Rahul Sharma,DC,IND,29,26,111.5384615,3,1,14,124,167,5,8.080645161,1,0.5,6,23
